#  Alameda County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.57
201402,-5.21
201403,-5.41
201404,-5.18
201405,-6.27
201406,-6.95
201407,-7.17
201408,-6.9
201409,-6.12
201410,-6
201411,-5.74
201412,-2.88
201501,-3.81
201502,-3.89
201503,-4.78
201504,-4.61
201505,-4.53
201506,-4.4
201507,-4.38
201508,-4.22
201509,-4.11
201510,-4.5
201511,0.08
201512,0.17
201601,0.78
201602,-0.91
201603,0.89
201604,0.96
201605,0.96
201606,0.88
201607,-0.23
201608,-0.39
201609,-0.65
201610,1.79
201611,1.44
201612,1.36
201701,3.3
201702,4.59
201703,3.99
201704,4.08
201705,3.65
201706,3.48
201707,-0.09
201708,-0.29
201709,-0.55
201710,-1.1
201711,-0.95
201712,-2.15
201801,-2.11
201802,-3.01
201803,-2.27
201804,-1.62
201805,-1.69
201806,-1.62
201807,-1.64
201808,-1.7
201809,-1.83
201810,-2.28
201811,-1.99
201812,-2.33
201901,-2.31
201902,1.41
201903,1.87
201904,1.11
201905,2.32
201906,2.6
201907,0.05
201908,-0.08
201909,-0.15
201910,-0.83
201911,-1.35
201912,-1.24
202001,-2.03
202002,-3.24
202003,-3.23
202004,-3.04
202005,-3.59
202006,-4.34
202007,-4.67
202008,-4.58
202009,-4.56
202010,-5.04
202011,-5.39
202012,-5.66
202101,-5.6
202102,-6.05
202103,-6.23
202104,-6.55
202105,-7.5
202106,-8.14
202107,-8.28
202108,-7.95
202109,-7.52
202110,-4.01
202111,-3.93
202112,-2.28
202201,-3.19
202202,-3.99
202203,-4.65
202204,-4.4
202205,-4.78
202206,-5.06
202207,-5.13
202208,-4.98
202209,-4.17
202210,-4.5
202211,-4.11
202212,2.35
202301,4.33
202302,4.12
202303,5.33
202304,-0.64
202305,-0.36
202306,-0.34
202307,-0.24
202308,-0.37
202309,-0.57
202310,-1.18
202311,-1.74
202312,-1.71
202401,0.33
202402,0.9
202403,1.11
202404,1.01
202405,1.41
202406,1.46
202407,-0.25
202408,-0.6
202409,-0.92
202410,-1.69
202411,-1.57
202412,-1.28
