#  Alpine County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.43
201402,-2.62
201403,-2.82
201404,-3.03
201405,-2.9
201406,-3.01
201407,-2.59
201408,-2.02
201409,-1.5
201410,-1.91
201411,-2.18
201412,-2.11
201501,-3.16
201502,-2.96
201503,-3.9
201504,-3.7
201505,0.49
201506,0.51
201507,1.3
201508,1.3
201509,0.91
201510,0.86
201511,0.97
201512,1.08
201601,1.41
201602,-0.79
201603,-0.43
201604,-0.45
201605,-0.44
201606,-0.83
201607,-1.37
201608,-1.74
201609,-1.94
201610,2.45
201611,1.43
201612,1.25
201701,4.22
201702,5.64
201703,4.87
201704,5.54
201705,4.79
201706,4.2
201707,3.25
201708,3.17
201709,3.65
201710,2.73
201711,3.13
201712,-1.02
201801,-1.5
201802,-2.04
201803,1.78
201804,-0.01
201805,-0.1
201806,-0.55
201807,-0.82
201808,-1.23
201809,-1.63
201810,-1.93
201811,-1.57
201812,-1.92
201901,0.37
201902,2.13
201903,2.27
201904,1.57
201905,2.04
201906,-0.08
201907,0.14
201908,-0.25
201909,-0.21
201910,-0.82
201911,-1.13
201912,-0.66
202001,-1.44
202002,-2.3
202003,-1.97
202004,-1.82
202005,-1.83
202006,-1.73
202007,-1.68
202008,-1.59
202009,-1.9
202010,-2.61
202011,-2.5
202012,-2.67
202101,-2.42
202102,-2.77
202103,-2.93
202104,-3.35
202105,-3.48
202106,-3.55
202107,-3.54
202108,-3.64
202109,-3.76
202110,-1.07
202111,-1.93
202112,-0.88
202201,-1.98
202202,-2.66
202203,-3.34
202204,-2.95
202205,-3.08
202206,-3
202207,-3.29
202208,-2.76
202209,-2.28
202210,-2.82
202211,0.07
202212,1.63
202301,3.13
202302,3.23
202303,4.64
202304,-0.69
202305,-0.92
202306,0.38
202307,0.15
202308,0.79
202309,0.88
202310,-0.55
202311,-0.88
202312,-1.32
202401,-1.5
202402,0.63
202403,1.26
202404,-0.54
202405,-0.81
202406,-1.27
202407,-1.67
202408,-1.88
202409,-1.99
202410,-2.34
202411,-2.09
202412,-2.13
