#  Amador County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.09
201402,-3.04
201403,-3.02
201404,-2.96
201405,-3
201406,-3.11
201407,-3.36
201408,-3.29
201409,-2.75
201410,-3.04
201411,-2.99
201412,-2.18
201501,-3.34
201502,-3.18
201503,-4.15
201504,-3.84
201505,-3.39
201506,-3.02
201507,-3.14
201508,-3.03
201509,-3.15
201510,-2.96
201511,-2.35
201512,-1.69
201601,-0.74
201602,-1.61
201603,-0.93
201604,-0.85
201605,-0.95
201606,-1.11
201607,-1.57
201608,-1.71
201609,-1.94
201610,2.19
201611,1.24
201612,1.02
201701,3.54
201702,5.33
201703,4.53
201704,4.84
201705,-0.29
201706,-0.25
201707,-0.6
201708,-0.81
201709,-0.88
201710,-1.38
201711,-0.56
201712,-1.69
201801,-1.74
201802,-2.51
201803,1.55
201804,1.65
201805,-0.19
201806,-0.43
201807,-0.95
201808,-1.26
201809,-1.61
201810,-1.99
201811,-1.34
201812,-1.79
201901,0.36
201902,2.2
201903,2.4
201904,1.77
201905,3.7
201906,3.6
201907,3.42
201908,3.01
201909,3.14
201910,-0.71
201911,-1.18
201912,-0.54
202001,-1.3
202002,-2.38
202003,-1.66
202004,-1.45
202005,-0.9
202006,-0.63
202007,-0.73
202008,-0.88
202009,-1.29
202010,-2.12
202011,-2.38
202012,-2.58
202101,-2.31
202102,-2.69
202103,-2.9
202104,-3.49
202105,-3.93
202106,-4.62
202107,-5.21
202108,-5.17
202109,-4.97
202110,-1.71
202111,-2.99
202112,-1.84
202201,-2.94
202202,-3.73
202203,-4.33
202204,-3.77
202205,-3.86
202206,-3.63
202207,-3.65
202208,-3.41
202209,-2.76
202210,-3.3
202211,-0.05
202212,2.22
202301,3.65
202302,3.24
202303,4.64
202304,-0.8
202305,-0.87
202306,-1.05
202307,-1.23
202308,-1.07
202309,-1.03
202310,-1.25
202311,-1.55
202312,-1.74
202401,-0.03
202402,0.62
202403,1.24
202404,-0.31
202405,-0.26
202406,-0.44
202407,-1.24
202408,-1.52
202409,-1.83
202410,-2.46
202411,-2.25
202412,-1.99
