#  Butte County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.92
201402,-2.74
201403,-2.01
201404,-2.38
201405,-2.69
201406,-3.31
201407,-3.75
201408,-3.18
201409,-2.88
201410,-2.85
201411,-2.66
201412,-1.38
201501,-2.56
201502,-2.67
201503,-3.62
201504,-3.71
201505,-3.96
201506,-4.44
201507,-4.76
201508,-4.5
201509,-4.34
201510,-4.59
201511,-4.25
201512,-3.68
201601,-2.44
201602,-2.97
201603,-1.47
201604,-1.78
201605,-1.89
201606,-1.99
201607,-2.22
201608,-2.23
201609,-2.46
201610,2.02
201611,0.72
201612,0.73
201701,1.81
201702,2.81
201703,2.35
201704,2.89
201705,-0.54
201706,-0.67
201707,-1.06
201708,-1.34
201709,-1.41
201710,-1.86
201711,-0.91
201712,-2.1
201801,-2.27
201802,-2.94
201803,-1.91
201804,-1.24
201805,-1.55
201806,-1.89
201807,-2.34
201808,-2.46
201809,-2.68
201810,-2.92
201811,-2.44
201812,-2.68
201901,0.47
201902,2.18
201903,2.48
201904,1.93
201905,3.21
201906,3.13
201907,2.9
201908,2.49
201909,2.81
201910,-0.73
201911,-1.26
201912,-0.69
202001,-1.32
202002,-2.21
202003,-2.47
202004,-2.65
202005,-1.65
202006,-1.24
202007,-1.24
202008,-1.33
202009,-1.74
202010,-2.5
202011,-2.65
202012,-2.77
202101,-2.94
202102,-3.16
202103,-3.21
202104,-3.71
202105,-4.26
202106,-5.12
202107,-5.67
202108,-5.48
202109,-5.2
202110,-2.69
202111,-3.81
202112,-3.19
202201,-4.05
202202,-4.64
202203,-5.15
202204,-4.64
202205,-4.59
202206,-3.98
202207,-3.78
202208,-3.67
202209,-2.72
202210,-3.32
202211,-3.14
202212,0.65
202301,1.4
202302,0.94
202303,2.29
202304,-0.52
202305,-0.53
202306,-0.61
202307,-0.75
202308,-0.64
202309,-0.32
202310,-0.74
202311,-1.13
202312,-0.01
202401,0.15
202402,0.57
202403,0.6
202404,-0.43
202405,-0.23
202406,-0.45
202407,-1.33
202408,-1.02
202409,-1.42
202410,-2.06
202411,-0.67
202412,-0.61
