#  Colusa County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.29
201402,-3.36
201403,-2.97
201404,-2.81
201405,-2.77
201406,-3.2
201407,-3.51
201408,-3.24
201409,0.6
201410,0.11
201411,0.11
201412,2.29
201501,-1.38
201502,-1.42
201503,-2.44
201504,-2.21
201505,-2.47
201506,-2.91
201507,-3.17
201508,-2.94
201509,-2.86
201510,-3.4
201511,-3.22
201512,-3.23
201601,-2.27
201602,-2.96
201603,1.26
201604,-0.38
201605,-0.25
201606,-0.52
201607,-0.83
201608,-0.89
201609,-1.12
201610,0.89
201611,0.92
201612,0.74
201701,2.57
201702,3.68
201703,2.99
201704,3.2
201705,2.81
201706,2.79
201707,-0.17
201708,-0.41
201709,-0.68
201710,-1.2
201711,-1.1
201712,-2.29
201801,-2.4
201802,-3.22
201803,-2.63
201804,-1.81
201805,-1.82
201806,-1.89
201807,-2.1
201808,-2.1
201809,-2.17
201810,-2.32
201811,-1.87
201812,-2.1
201901,0.5
201902,2.57
201903,2.97
201904,2.09
201905,3.09
201906,3.14
201907,-0.27
201908,-0.31
201909,-0.37
201910,-0.98
201911,-1.64
201912,-0.72
202001,-1.5
202002,-2.47
202003,-2.97
202004,-3.15
202005,-2.93
202006,-3.27
202007,-3.45
202008,-3.23
202009,-3.27
202010,-3.87
202011,-4.24
202012,-4.6
202101,-4.77
202102,-5.14
202103,-5.14
202104,-5.58
202105,-6.73
202106,-7.61
202107,-7.75
202108,-7.19
202109,-6.74
202110,-3.53
202111,-3.43
202112,-2.62
202201,-3.66
202202,-4.35
202203,-4.79
202204,-4.82
202205,-5.14
202206,-5.29
202207,-5.28
202208,-4.93
202209,0.98
202210,-0.82
202211,-0.99
202212,0.59
202301,2.33
202302,1.85
202303,3.47
202304,2.7
202305,2.94
202306,-0.04
202307,-0.11
202308,-0.16
202309,-0.26
202310,-0.53
202311,-1.13
202312,0.03
202401,0.21
202402,1.65
202403,1.54
202404,1.55
202405,1.52
202406,-0.25
202407,-1.01
202408,-0.98
202409,-1.24
202410,-1.91
202411,1.34
202412,1.66
