#  Del Norte County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-2.63
201402,-2.32
201403,-1.69
201404,-2.13
201405,-2.43
201406,-2.49
201407,-2.8
201408,-3.14
201409,-2.1
201410,-1.53
201411,-1.86
201412,-1.72
201501,-2.6
201502,-2.39
201503,-2.99
201504,-2.96
201505,-3.51
201506,-4.07
201507,-4.51
201508,-4.28
201509,-4.17
201510,-4.57
201511,-4.02
201512,-2.66
201601,-1.84
201602,-2.36
201603,-1.65
201604,-1.83
201605,-2.38
201606,-2.74
201607,-2.87
201608,-3.19
201609,-3.62
201610,3.23
201611,2.67
201612,2.53
201701,2.86
201702,3.96
201703,3.97
201704,4.86
201705,-0.46
201706,-0.41
201707,-0.67
201708,-1.19
201709,-1.27
201710,-1.74
201711,-1.21
201712,-1.72
201801,-1.62
201802,-2.47
201803,-1.81
201804,-1.23
201805,-1.96
201806,-2.11
201807,-2.64
201808,-3.05
201809,-3.42
201810,-3.86
201811,-3.6
201812,-3.41
201901,-3.11
201902,1.3
201903,0.29
201904,1.19
201905,1.26
201906,-0.66
201907,-1.17
201908,-1.12
201909,1.07
201910,-0.63
201911,-1.05
201912,0.16
202001,0.57
202002,-1.17
202003,-2.02
202004,-2.44
202005,-1.38
202006,-1.43
202007,-1.5
202008,-1.88
202009,-2.23
202010,-2.95
202011,-2.6
202012,-2.57
202101,-1.79
202102,-1.73
202103,-2.07
202104,-2.85
202105,-3.46
202106,-2.98
202107,-3.32
202108,-3.67
202109,-2.39
202110,-1.54
202111,-1.86
202112,-1.76
202201,-2.49
202202,-3.45
202203,-4
202204,0.85
202205,1.21
202206,1.94
202207,2.35
202208,-0.13
202209,-0.75
202210,-1.84
202211,-1.7
202212,-1.34
202301,-1.21
202302,-1.62
202303,0.67
202304,0.84
202305,-0.55
202306,-1.12
202307,-1.85
202308,-2.28
202309,-1.93
202310,-2.12
202311,-1.98
202312,0.05
202401,1.16
202402,1.36
202403,1.74
202404,-0.67
202405,-0.94
202406,-0.94
202407,-1.13
202408,-0.81
202409,-1.31
202410,-1.75
202411,-0.94
202412,-0.64
