#  El Dorado County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-2.79
201402,-1.62
201403,-1.6
201404,-1.81
201405,-1.94
201406,-2.24
201407,-2.49
201408,-2.36
201409,-1.7
201410,-2.08
201411,-2.08
201412,-1.56
201501,-2.76
201502,-2.55
201503,-3.56
201504,-3.33
201505,-2.91
201506,-2.42
201507,-2.18
201508,-2.05
201509,-2.29
201510,-2.32
201511,0.12
201512,0.5
201601,1.06
201602,-0.86
201603,-0.03
201604,-0.08
201605,-0.09
201606,-0.36
201607,-0.89
201608,-1.14
201609,-1.48
201610,2.5
201611,1.31
201612,1.12
201701,3.66
201702,5.47
201703,4.65
201704,5.1
201705,-0.35
201706,-0.52
201707,-0.99
201708,-1.19
201709,-0.99
201710,-1.48
201711,-0.33
201712,-1.35
201801,-1.52
201802,-2.27
201803,1.68
201804,1.72
201805,-0.08
201806,-0.4
201807,-0.89
201808,-1.26
201809,-1.67
201810,-2.04
201811,-1.7
201812,-1.98
201901,0.37
201902,2.38
201903,2.5
201904,1.91
201905,3.36
201906,2.91
201907,2.61
201908,2.21
201909,2.54
201910,-0.74
201911,-1.15
201912,-0.59
202001,-1.29
202002,-2.32
202003,-1.87
202004,-1.7
202005,-1.28
202006,-1.22
202007,-1.18
202008,-1.29
202009,-1.74
202010,-2.56
202011,-2.46
202012,-2.57
202101,-2.58
202102,-2.91
202103,-3.17
202104,-3.73
202105,-4.12
202106,-4.83
202107,-5.5
202108,-5.56
202109,-5.34
202110,-2.02
202111,-3.18
202112,-2.13
202201,-3.18
202202,-3.85
202203,-4.52
202204,-3.53
202205,-3.63
202206,-3.29
202207,-3.28
202208,-3.14
202209,-2.45
202210,-3.09
202211,0.02
202212,1.63
202301,2.78
202302,2.58
202303,3.98
202304,-0.78
202305,-0.72
202306,-0.56
202307,-0.58
202308,-0.23
202309,-0.03
202310,-0.42
202311,-0.7
202312,-0.98
202401,-0.98
202402,0.46
202403,1.04
202404,-0.53
202405,-0.59
202406,-0.94
202407,-1.66
202408,-1.86
202409,-2.06
202410,-2.59
202411,-2.1
202412,-2.03
