#  Fresno County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-6.74
201402,-6.77
201403,-6.97
201404,-6.89
201405,-7.72
201406,-8.78
201407,-8.97
201408,-8.4
201409,-7.75
201410,-7.63
201411,-7.27
201412,-6.65
201501,-7.31
201502,-7.42
201503,-8.13
201504,-8.19
201505,-8.06
201506,-8.79
201507,-8.5
201508,-8.13
201509,-7.64
201510,0.04
201511,0.3
201512,0.28
201601,0.97
201602,-0.72
201603,-0.6
201604,-0.57
201605,-0.47
201606,-0.23
201607,-0.61
201608,-0.91
201609,-1.18
201610,0.6
201611,0.15
201612,0.11
201701,3.08
201702,3.93
201703,-0.54
201704,0.52
201705,0.42
201706,0.46
201707,-0.39
201708,-0.55
201709,-0.51
201710,-0.99
201711,-1.28
201712,-2.37
201801,-3.09
201802,-3.96
201803,-2.43
201804,-2.3
201805,-2.29
201806,-2.26
201807,-2.31
201808,-2.52
201809,-2.71
201810,-2.73
201811,-2.06
201812,-2.53
201901,-0.01
201902,1.18
201903,1.43
201904,0.65
201905,2.45
201906,2.86
201907,3.04
201908,-0.07
201909,-0.45
201910,-0.96
201911,-0.99
201912,-0.86
202001,-1.79
202002,-2.77
202003,-2.51
202004,-1.98
202005,-1.95
202006,-1.97
202007,-2.17
202008,-2.33
202009,-2.6
202010,-3.12
202011,-3.39
202012,-3.87
202101,-3.64
202102,-4.28
202103,-4.32
202104,-4.88
202105,-5.62
202106,-6.51
202107,-7.01
202108,-6.85
202109,-6.63
202110,-4.82
202111,-5.1
202112,-3.43
202201,-4.13
202202,-4.68
202203,-4.89
202204,-4.92
202205,-5.14
202206,-5.41
202207,-5.57
202208,-5.06
202209,-4.34
202210,-4.61
202211,-4.25
202212,1.03
202301,3.98
202302,4.15
202303,5.81
202304,-0.79
202305,-0.93
202306,-0.94
202307,-1
202308,-0.62
202309,-0.76
202310,-1.28
202311,-1.85
202312,-2.45
202401,-2.72
202402,-1.61
202403,-1.5
202404,-1.43
202405,-1.37
202406,-1.31
202407,-1.76
202408,-2.07
202409,-2.32
202410,-2.84
202411,-2.46
202412,-2.94
