#  Glenn County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.73
201402,-3.81
201403,-2.98
201404,-2.93
201405,-2.87
201406,-3.22
201407,-3.5
201408,0.02
201409,0.68
201410,-0.55
201411,-0.6
201412,2.1
201501,-1.37
201502,-1.45
201503,-2.49
201504,-2.4
201505,-2.62
201506,-3.09
201507,-3.34
201508,-3.21
201509,-3.05
201510,-3.52
201511,-3.61
201512,-3.35
201601,0.97
201602,-0.93
201603,1.04
201604,-0.46
201605,-0.21
201606,-0.24
201607,-0.45
201608,-0.57
201609,-0.88
201610,0.72
201611,0.55
201612,0.4
201701,1.86
201702,2.85
201703,-0.33
201704,0.36
201705,-0.25
201706,-0.43
201707,-0.79
201708,-1.04
201709,-1.26
201710,-1.7
201711,-1.71
201712,-2.74
201801,-3.01
201802,-3.62
201803,-3.24
201804,-2.36
201805,-2.36
201806,-2.42
201807,-2.58
201808,-2.59
201809,-2.65
201810,-2.62
201811,-2.09
201812,-2.46
201901,0.69
201902,2.97
201903,3.62
201904,2.62
201905,3.48
201906,3.38
201907,-0.24
201908,-0.3
201909,-0.25
201910,-0.88
201911,-1.51
201912,-1.09
202001,-1.88
202002,-2.74
202003,-3.16
202004,-3.44
202005,-3.17
202006,-3.52
202007,-3.72
202008,-3.45
202009,-3.52
202010,-4.05
202011,-4.39
202012,-4.75
202101,-4.86
202102,-5.12
202103,-5.04
202104,-5.31
202105,-6.22
202106,-7.09
202107,-7.36
202108,-6.93
202109,-6.46
202110,-3.6
202111,-3.8
202112,-3.34
202201,-4.27
202202,-4.85
202203,-5.2
202204,-5.1
202205,-5.28
202206,-5.37
202207,-5.38
202208,-5.08
202209,1.18
202210,-0.81
202211,-1
202212,0.23
202301,2.01
202302,1.5
202303,2.97
202304,2.23
202305,2.56
202306,-0.01
202307,-0.09
202308,-0.29
202309,-0.24
202310,-0.59
202311,-1.1
202312,0.23
202401,0.15
202402,1.44
202403,-0.01
202404,-0.02
202405,-0.04
202406,-0.29
202407,-1.09
202408,-1.14
202409,-1.37
202410,-2
202411,1.53
202412,1.67
