#  Humboldt County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.12
201402,-2.71
201403,-2.19
201404,-2.6
201405,-3.05
201406,-3.27
201407,-3.66
201408,-3.93
201409,-2.73
201410,-1.83
201411,-2.25
201412,-1.94
201501,-3.05
201502,-2.61
201503,-3.32
201504,-3.26
201505,-3.71
201506,-4.03
201507,-4.34
201508,-4.2
201509,-4.09
201510,-4.55
201511,-4.17
201512,-2.79
201601,-1.48
201602,-2.06
201603,-0.85
201604,-1.09
201605,-1.47
201606,-1.75
201607,-2
201608,-2.3
201609,-2.69
201610,2.54
201611,1.8
201612,1.5
201701,2.26
201702,3.55
201703,3.55
201704,4.17
201705,-0.45
201706,-0.54
201707,-0.86
201708,-1.05
201709,-1.11
201710,-1.59
201711,-1.04
201712,-1.79
201801,-1.71
201802,-2.37
201803,-1.66
201804,-1.07
201805,-1.49
201806,-1.68
201807,-2.05
201808,-2.37
201809,-2.46
201810,-2.94
201811,-2.6
201812,-2.76
201901,0.05
201902,1.87
201903,1.52
201904,1.21
201905,1.73
201906,-0.36
201907,-0.52
201908,-0.64
201909,0.67
201910,-0.57
201911,-0.91
201912,-0.45
202001,-0.41
202002,-1.5
202003,-2.19
202004,-2.47
202005,-1.12
202006,-1.11
202007,-1.02
202008,-1.26
202009,-1.49
202010,-2.34
202011,-2.31
202012,-2.33
202101,-2.14
202102,-2.15
202103,-2.39
202104,-3.01
202105,-3.55
202106,-3.62
202107,-4.03
202108,-4.24
202109,-3.63
202110,-2.64
202111,-3.05
202112,-2.82
202201,-3.66
202202,-4.44
202203,-5.07
202204,0.6
202205,0.61
202206,0.94
202207,1.48
202208,-0.06
202209,-0.2
202210,-1.14
202211,0.06
202212,0.28
202301,0.76
202302,0.54
202303,1.57
202304,-0.22
202305,-0.6
202306,-0.95
202307,-1.42
202308,-1.78
202309,0.7
202310,-0.4
202311,-0.6
202312,0.17
202401,1.12
202402,1.8
202403,2.34
202404,-0.66
202405,0.18
202406,0.11
202407,0.09
202408,0.56
202409,-0.56
202410,-1.05
202411,1.06
202412,1.24
