#  Imperial County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-1.72
201402,-2.62
201403,-3.33
201404,-3.41
201405,-3.28
201406,-3.02
201407,-2.91
201408,-1.58
201409,-1.17
201410,-1.75
201411,-2.06
201412,-2.01
201501,-2.28
201502,-3.27
201503,-3.34
201504,-3.37
201505,-2.22
201506,-1.8
201507,-1.09
201508,-1.79
201509,-1.99
201510,-2.18
201511,-2.26
201512,-2.57
201601,-1.89
201602,-2.76
201603,-3.46
201604,-2.92
201605,-2.66
201606,-2.47
201607,-2.47
201608,-3
201609,-2.81
201610,-3.08
201611,-3.27
201612,0.98
201701,1.88
201702,2.75
201703,-0.45
201704,-0.89
201705,-0.66
201706,-0.67
201707,-0.46
201708,-0.9
201709,-0.93
201710,-1.5
201711,-2.02
201712,-2.67
201801,-3.29
201802,-3.66
201803,-4.02
201804,-4.03
201805,-3.85
201806,-3.52
201807,-3.31
201808,-3.6
201809,-3.38
201810,-2.76
201811,-2.89
201812,-2.16
201901,-1.73
201902,-1.16
201903,-1.29
201904,-1.46
201905,-1.32
201906,-1.26
201907,-1.48
201908,-2.17
201909,0.7
201910,0.13
201911,1.4
201912,1.35
202001,-0.82
202002,-0.98
202003,1.86
202004,2.55
202005,-0.27
202006,-0.32
202007,-0.75
202008,-1.53
202009,-1.97
202010,-2.5
202011,-2.72
202012,-3.09
202101,-2.05
202102,-2.36
202103,-2.67
202104,-2.85
202105,-2.8
202106,-2.55
202107,-1.99
202108,-2.01
202109,-1.98
202110,-2.18
202111,-2.67
202112,-2.8
202201,-3.39
202202,-3.78
202203,-4.28
202204,-4.3
202205,-4.12
202206,-3.77
202207,-3.8
202208,0.46
202209,1.78
202210,1.64
202211,-0.24
202212,-0.79
202301,-0.64
202302,-1.01
202303,-0.85
202304,-1.19
202305,-1.2
202306,-1.15
202307,-1.45
202308,1.34
202309,2.06
202310,-0.65
202311,-0.59
202312,-1.07
202401,0.98
202402,1.27
202403,-0.22
202404,-0.49
202405,-0.68
202406,-0.69
202407,-1.07
202408,-1.77
202409,-2.19
202410,-2.73
202411,-2.84
202412,-3.48
