#  Inyo County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.82
201402,-4.3
201403,-4.34
201404,-4.74
201405,-5.01
201406,-5.3
201407,-4.78
201408,-3.8
201409,-3.33
201410,-3.52
201411,-3.73
201412,-3.05
201501,-3.12
201502,-3.58
201503,-4.36
201504,-4.76
201505,-4.35
201506,-4.62
201507,-3.16
201508,-3.36
201509,-3.43
201510,-1.65
201511,-1.74
201512,-2.08
201601,-1.93
201602,-2.3
201603,-2.82
201604,-2.68
201605,-2.97
201606,-3.22
201607,-3.48
201608,-3.67
201609,-3.68
201610,-3.34
201611,-3.42
201612,-0.01
201701,2.19
201702,2.71
201703,1.93
201704,2.13
201705,2.85
201706,3.36
201707,-0.43
201708,-0.57
201709,-0.45
201710,-0.85
201711,-1.28
201712,-1.97
201801,-2.21
201802,-2.75
201803,-2.45
201804,-2.98
201805,-3.36
201806,-3.83
201807,-3.25
201808,-3.52
201809,-3.59
201810,-3.2
201811,-3.08
201812,-3.18
201901,0.29
201902,1.19
201903,2.41
201904,2.46
201905,3.61
201906,4.61
201907,-0.07
201908,-0.48
201909,-0.8
201910,-1.08
201911,-0.67
201912,-0.31
202001,-0.99
202002,-1.64
202003,-1.3
202004,-1.03
202005,-1.88
202006,-2.33
202007,-2.81
202008,-3.17
202009,-3.33
202010,-3.55
202011,-3.64
202012,-3.8
202101,-3.82
202102,-4.27
202103,-4.4
202104,-4.96
202105,-5.42
202106,-5.77
202107,-4.49
202108,-4.63
202109,-4.52
202110,-3.86
202111,-4.16
202112,-2.95
202201,-3.33
202202,-3.71
202203,-4.21
202204,-4.6
202205,-4.88
202206,-4.89
202207,-4.86
202208,1.1
202209,1.3
202210,0.66
202211,0.58
202212,0.6
202301,2.08
202302,2.4
202303,3.43
202304,3.42
202305,4.22
202306,5.14
202307,4.96
202308,5.99
202309,5.41
202310,4.49
202311,3.66
202312,2.78
202401,2.24
202402,3.41
202403,3.45
202404,3.31
202405,0.04
202406,2.74
202407,2.04
202408,1.24
202409,0.64
202410,-1.74
202411,-1.76
202412,-2.39
