#  Kern County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.94
201402,-6.27
201403,-6.44
201404,-6.64
201405,-7.1
201406,-7.44
201407,-7.35
201408,-6.67
201409,-6.31
201410,-6.16
201411,-6
201412,-4.72
201501,-4.84
201502,-5.19
201503,-5.88
201504,-6.2
201505,-6.09
201506,-6.33
201507,-5.59
201508,-5.27
201509,-4.79
201510,-4.2
201511,-3.78
201512,-3.78
201601,-3.14
201602,-3.63
201603,-3.77
201604,-3.83
201605,-4.08
201606,-4.48
201607,-4.62
201608,-4.41
201609,-4.25
201610,-3.8
201611,-3.64
201612,0.62
201701,2.67
201702,3.34
201703,-0.59
201704,-0.7
201705,0.36
201706,0.6
201707,-0.34
201708,-0.48
201709,-0.24
201710,-0.68
201711,-1.25
201712,-2.17
201801,-2.52
201802,-3.24
201803,-2.52
201804,-2.84
201805,-3.52
201806,-4.1
201807,-4.26
201808,-4.09
201809,-3.99
201810,-3.97
201811,-3.71
201812,-3.63
201901,0.42
201902,1.14
201903,1.46
201904,1.08
201905,2
201906,2.87
201907,2.7
201908,-0.23
201909,-0.48
201910,-0.84
201911,0.29
201912,0.76
202001,-0.8
202002,-1.84
202003,0.36
202004,1.22
202005,-0.23
202006,-0.76
202007,-1.14
202008,-1.25
202009,-1.48
202010,-1.9
202011,-2.17
202012,-2.62
202101,-2.91
202102,-3.75
202103,-3.96
202104,-4.72
202105,-5.53
202106,-6.1
202107,-6.04
202108,-5.69
202109,-5.42
202110,-4.22
202111,-4.55
202112,-2.96
202201,-3.5
202202,-4.05
202203,-4.16
202204,-4.41
202205,-4.73
202206,-4.79
202207,-4.82
202208,-4.46
202209,-3.83
202210,-3.95
202211,0.17
202212,0.41
202301,1.59
202302,2.48
202303,3.54
202304,2.96
202305,3.52
202306,3.97
202307,4.36
202308,4.59
202309,3.87
202310,3.19
202311,2.34
202312,1.74
202401,1.42
202402,2.28
202403,2.51
202404,2.53
202405,2.75
202406,2.86
202407,-0.42
202408,-0.64
202409,-0.89
202410,-1.31
202411,-1.13
202412,-2.03
