#  Kings County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.86
201402,-5.78
201403,-6.2
201404,-6.67
201405,-7.22
201406,-7.35
201407,-7.02
201408,-6.36
201409,-5.97
201410,-5.47
201411,-4.94
201412,-3.73
201501,-4.23
201502,-4.68
201503,-5.73
201504,-5.94
201505,-5.95
201506,-6.13
201507,-5.75
201508,-5.18
201509,-4.9
201510,-4.2
201511,-3.64
201512,-3.27
201601,-2.47
201602,-3.14
201603,-3.26
201604,-3.57
201605,-3.72
201606,-3.89
201607,-3.87
201608,-3.54
201609,-3.42
201610,0.52
201611,0.41
201612,0.42
201701,1.92
201702,2.52
201703,1.93
201704,2.03
201705,2.64
201706,2.94
201707,-0.2
201708,-0.24
201709,-0.34
201710,-0.74
201711,-1.4
201712,-2.26
201801,-2.67
201802,-3.48
201803,-2.78
201804,-3.06
201805,-3.8
201806,-4.24
201807,-4.24
201808,-3.86
201809,-3.72
201810,-3.7
201811,-3.01
201812,-3.4
201901,-3.24
201902,-2.38
201903,-2.03
201904,-2.26
201905,-1.35
201906,-1.27
201907,-1.39
201908,-1.31
201909,-1.42
201910,-1.67
201911,-1.59
201912,-1.02
202001,-1.57
202002,-2.58
202003,-2.03
202004,-1.6
202005,-2.49
202006,-2.99
202007,-3.07
202008,-2.82
202009,-2.81
202010,-3.1
202011,-3.25
202012,-3.68
202101,-2.95
202102,-3.66
202103,-3.82
202104,-4.45
202105,-4.99
202106,-5.29
202107,-5.19
202108,-4.71
202109,-4.49
202110,-3.35
202111,-3.66
202112,-1.88
202201,-2.59
202202,-3.28
202203,-3.48
202204,-3.85
202205,-4.09
202206,-4.12
202207,-4.02
202208,-3.64
202209,-3.4
202210,-3.59
202211,-3.31
202212,0.9
202301,2.25
202302,3.58
202303,4.91
202304,4.57
202305,5.62
202306,6.16
202307,6.27
202308,5.82
202309,-0.21
202310,4.05
202311,3.02
202312,2.67
202401,2.1
202402,2.82
202403,2.67
202404,2.64
202405,2.38
202406,2.05
202407,1.41
202408,1.21
202409,0.83
202410,-1.23
202411,0.57
202412,-0.68
