#  Los Angeles County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-6.45
201402,-6.12
201403,-6.1
201404,-6.45
201405,-7.28
201406,-7.83
201407,-7.94
201408,-7.34
201409,-6.9
201410,-6.67
201411,-6.54
201412,-5.28
201501,-5.35
201502,-5.67
201503,-6.08
201504,-6.41
201505,-6.19
201506,-6.5
201507,-6.16
201508,-5.89
201509,-4.45
201510,-4.05
201511,-4.18
201512,-4.33
201601,-3.98
201602,-4.46
201603,-4.41
201604,-4.86
201605,-5.18
201606,-5.77
201607,-6
201608,-5.8
201609,-5.51
201610,-5.01
201611,-4.82
201612,-3.94
201701,-1.99
201702,-1.39
201703,-2.16
201704,-2.59
201705,-2.56
201706,-2.72
201707,-3.01
201708,-2.98
201709,-2.7
201710,-2.95
201711,-3.46
201712,-4.18
201801,-4.46
201802,-4.88
201803,-4.06
201804,-4.53
201805,-5.02
201806,-5.54
201807,-5.87
201808,-5.72
201809,-5.48
201810,-5.03
201811,-4.65
201812,-4.34
201901,0.69
201902,1.61
201903,1.48
201904,0.84
201905,1.5
201906,1.91
201907,1.89
201908,1.55
201909,1.15
201910,0.58
201911,0.81
201912,1.55
202001,-0.82
202002,-1.72
202003,0.78
202004,2.11
202005,2.42
202006,2.63
202007,2.48
202008,-0.11
202009,-0.45
202010,-0.97
202011,-1.5
202012,-1.87
202101,-2.26
202102,-2.99
202103,-3.22
202104,-4.19
202105,-5.23
202106,-6.14
202107,-6.42
202108,-6.18
202109,-5.88
202110,-5
202111,-5.35
202112,-3.16
202201,-3.56
202202,-4.08
202203,-4.21
202204,-4.4
202205,-4.49
202206,-4.54
202207,-4.64
202208,-4.58
202209,-3.92
202210,-3.89
202211,0.21
202212,0.3
202301,2.14
202302,2.45
202303,3.68
202304,2.84
202305,2.99
202306,2.97
202307,3.11
202308,3.19
202309,-0.09
202310,-0.53
202311,-0.98
202312,-1.06
202401,-1.44
202402,2
202403,2.27
202404,2.01
202405,2.12
202406,2.2
202407,-0.21
202408,-0.58
202409,-0.86
202410,-1.31
202411,-1.81
202412,-2.67
