#  Lake County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.72
201402,-2.6
201403,-1.91
201404,-2.09
201405,-2.42
201406,-2.78
201407,-3.2
201408,-3.07
201409,-2.43
201410,-2.61
201411,-2.35
201412,-0.98
201501,-2.26
201502,-2.18
201503,-3.17
201504,-3.33
201505,-3.52
201506,-3.86
201507,-4.14
201508,-3.93
201509,-3.41
201510,-3.97
201511,-3.91
201512,0.56
201601,1.37
201602,0.48
201603,2.05
201604,-0.54
201605,-0.67
201606,-0.92
201607,-1.28
201608,-1.45
201609,-1.72
201610,1.66
201611,0.88
201612,0.66
201701,2.59
201702,3.63
201703,2.99
201704,3.41
201705,-0.56
201706,-0.9
201707,-1.37
201708,-1.68
201709,-1.92
201710,-2.49
201711,-1.94
201712,-2.82
201801,-2.6
201802,-3.22
201803,-2.55
201804,-1.63
201805,-1.9
201806,-2.13
201807,-2.48
201808,-2.65
201809,-2.68
201810,-2.85
201811,-2.4
201812,-2.58
201901,0.38
201902,2.15
201903,2.58
201904,1.89
201905,3.6
201906,3.45
201907,3.26
201908,3.12
201909,-0.08
201910,-0.89
201911,-1.37
201912,-0.67
202001,-1.21
202002,-2.08
202003,-2.61
202004,-2.87
202005,-1.98
202006,-1.74
202007,-1.81
202008,-1.57
202009,-1.88
202010,-2.74
202011,-2.95
202012,-2.92
202101,-2.92
202102,-3.18
202103,-3.32
202104,-3.81
202105,-4.26
202106,-4.93
202107,-5.48
202108,-5.46
202109,-5.15
202110,-2.11
202111,-3.16
202112,-2.81
202201,-3.76
202202,-4.33
202203,-4.88
202204,-4.47
202205,-4.35
202206,-3.84
202207,-3.62
202208,-3.47
202209,-2.34
202210,-3.02
202211,-2.99
202212,0.7
202301,2.02
202302,1.59
202303,3.21
202304,-0.57
202305,-0.06
202306,-0.08
202307,-0.13
202308,-0.29
202309,-0.33
202310,-0.77
202311,-0.96
202312,0.3
202401,0.44
202402,1.3
202403,1.57
202404,-0.24
202405,-0.3
202406,-0.54
202407,-1.19
202408,-1.16
202409,-1.51
202410,-2.21
202411,1.24
202412,1.29
