#  Lassen County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.61
201402,-4.86
201403,-4.28
201404,-4.06
201405,-4.04
201406,-4.39
201407,-4.74
201408,-4.24
201409,-4.02
201410,-3.86
201411,-3.78
201412,-2.68
201501,-3.53
201502,-3.44
201503,-4.25
201504,-4.18
201505,0.6
201506,0.29
201507,0.55
201508,-0.24
201509,-0.51
201510,-0.79
201511,0.02
201512,0.54
201601,1.43
201602,-0.68
201603,0.56
201604,0.42
201605,0.7
201606,-0.16
201607,-0.44
201608,-0.8
201609,-1.24
201610,1.27
201611,0.89
201612,1.22
201701,3.08
201702,4.62
201703,4.07
201704,4.83
201705,-0.57
201706,-0.92
201707,-1.4
201708,-1.23
201709,-1.28
201710,-1.54
201711,-0.99
201712,-1.75
201801,-1.97
201802,-2.63
201803,0.59
201804,1.58
201805,2.09
201806,-0.24
201807,-0.27
201808,-0.73
201809,-1.21
201810,-1.23
201811,-1.36
201812,-1.52
201901,0.36
201902,2.02
201903,2.22
201904,2.15
201905,2.92
201906,2.48
201907,2.28
201908,1.97
201909,2.67
201910,-0.47
201911,-1.42
201912,-1.22
202001,-1.49
202002,-2.45
202003,-2.35
202004,-2.56
202005,-2.36
202006,-2.56
202007,-2.81
202008,-3.02
202009,-3.39
202010,-3.93
202011,-4.1
202012,-4.09
202101,-3.98
202102,-4
202103,-3.87
202104,-4.13
202105,-4.45
202106,-4.99
202107,-5.64
202108,-5.83
202109,-5.29
202110,-3.22
202111,-3.58
202112,-2.32
202201,-2.96
202202,-3.52
202203,-4.04
202204,-2.95
202205,-2.99
202206,-2.43
202207,-2.26
202208,-2.32
202209,-1.86
202210,-2.44
202211,-2.5
202212,0.44
202301,1.15
202302,0.69
202303,2.41
202304,1.66
202305,2.09
202306,2.6
202307,2.76
202308,2.79
202309,3.13
202310,-0.55
202311,-0.98
202312,-1.62
202401,-1.89
202402,0.51
202403,1.47
202404,-0.08
202405,-0.57
202406,-1.28
202407,-2.13
202408,-2.35
202409,-2.63
202410,-2.57
202411,0.59
202412,0.58
