#  Madera County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.56
201402,-5.7
201403,-6.02
201404,-5.92
201405,-6.61
201406,-7.6
201407,-7.85
201408,-7.4
201409,-6.7
201410,-6.71
201411,-6.52
201412,-5.89
201501,-6.62
201502,-6.85
201503,-7.63
201504,-7.35
201505,-7.26
201506,-7.99
201507,-7.78
201508,-7.41
201509,-6.88
201510,-6.25
201511,0.19
201512,0.34
201601,1
201602,-0.82
201603,-0.53
201604,-0.44
201605,-0.49
201606,-0.36
201607,-0.69
201608,-0.91
201609,-1.16
201610,0.75
201611,0.28
201612,0.44
201701,2.85
201702,3.68
201703,-0.48
201704,-0.05
201705,-0.34
201706,-0.43
201707,-0.83
201708,-0.64
201709,-0.3
201710,-0.8
201711,-1.03
201712,-2.06
201801,-2.65
201802,-3.54
201803,-1.81
201804,-1.68
201805,-1.74
201806,-1.7
201807,-1.85
201808,-2.03
201809,-2.22
201810,-2.35
201811,-1.66
201812,-2.22
201901,0.15
201902,1.05
201903,1.14
201904,-0.6
201905,1.63
201906,2.07
201907,2.37
201908,0.03
201909,-0.33
201910,-0.87
201911,-1.37
201912,-1.43
202001,-2.35
202002,-3.38
202003,-3.31
202004,-2.77
202005,-2.8
202006,-2.95
202007,-3.13
202008,-3.09
202009,-3.23
202010,-3.72
202011,-3.9
202012,-4.19
202101,-3.93
202102,-4.52
202103,-4.72
202104,-5.1
202105,-5.58
202106,-6.3
202107,-6.61
202108,-6.1
202109,-5.92
202110,-4.14
202111,-4.45
202112,-2.89
202201,-3.73
202202,-4.38
202203,-4.69
202204,-4.42
202205,-4.5
202206,-4.69
202207,-4.86
202208,-4.41
202209,-3.81
202210,-4.15
202211,-3.9
202212,0.99
202301,2.72
202302,2.69
202303,4.43
202304,-0.79
202305,-0.85
202306,-0.94
202307,-1.05
202308,-0.67
202309,-0.6
202310,-1.2
202311,-1.66
202312,-2.39
202401,-2.47
202402,-1.79
202403,-1.57
202404,-1.37
202405,-1.24
202406,-1.12
202407,-1.52
202408,-1.79
202409,-1.99
202410,-2.57
202411,-2.18
202412,-2.57
