#  Mendocino County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.3
201402,-2.42
201403,-1.56
201404,-1.85
201405,-2.29
201406,-2.63
201407,-3.04
201408,-3.07
201409,-2.39
201410,-2.24
201411,-1.96
201412,-0.99
201501,-2.29
201502,-2.25
201503,-3.22
201504,-3.13
201505,-3.34
201506,-3.51
201507,-3.71
201508,-3.58
201509,-3.13
201510,-3.81
201511,-3.67
201512,0.96
201601,1.76
201602,0.82
201603,2.21
201604,-0.47
201605,-0.67
201606,-0.73
201607,-0.99
201608,-1.2
201609,-1.54
201610,1.84
201611,1.09
201612,0.87
201701,2.21
201702,3.23
201703,2.68
201704,3.06
201705,-0.58
201706,-0.92
201707,-1.37
201708,-1.71
201709,-1.94
201710,-2.48
201711,-1.81
201712,-2.71
201801,-2.53
201802,-3.23
201803,-2.6
201804,-1.32
201805,-1.68
201806,-1.92
201807,-2.24
201808,-2.45
201809,-2.54
201810,-2.8
201811,-2.43
201812,-2.54
201901,0.1
201902,1.81
201903,2.14
201904,1.49
201905,3
201906,2.68
201907,2.46
201908,2.37
201909,0.03
201910,-0.82
201911,-1.25
201912,-0.84
202001,-1.2
202002,-2.18
202003,-2.66
202004,-2.97
202005,-2.27
202006,-2.09
202007,-2.14
202008,-2.01
202009,-2.27
202010,-3.16
202011,-3.23
202012,-3.15
202101,-3.09
202102,-3.31
202103,-3.55
202104,-3.97
202105,-4.39
202106,-4.76
202107,-5.21
202108,-5.28
202109,-4.92
202110,-2.18
202111,-3.12
202112,-2.71
202201,-3.71
202202,-4.4
202203,-4.98
202204,0.37
202205,0.12
202206,0.44
202207,0.45
202208,0.22
202209,1.15
202210,-0.95
202211,-0.97
202212,0.58
202301,1.5
202302,1.13
202303,2.34
202304,-0.46
202305,-0.17
202306,-0.22
202307,-0.33
202308,-0.47
202309,-0.39
202310,-0.9
202311,-1.08
202312,0.31
202401,0.78
202402,1.43
202403,1.69
202404,-0.31
202405,-0.19
202406,-0.28
202407,-0.66
202408,-0.48
202409,-0.86
202410,-1.61
202411,1.02
202412,1.23
