#  Merced County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-6.29
201402,-6.15
201403,-6.15
201404,-6.45
201405,-7.38
201406,-7.83
201407,-7.75
201408,-7.13
201409,-6.63
201410,-6.37
201411,-5.88
201412,-4.29
201501,-4.91
201502,-5.16
201503,-6.03
201504,-6.11
201505,-6.18
201506,-6.45
201507,-6.34
201508,-5.78
201509,-5.48
201510,-5.22
201511,0.67
201512,0.61
201601,1.91
201602,0.95
201603,1.41
201604,1.87
201605,2.46
201606,2.75
201607,2.26
201608,1.91
201609,1.42
201610,2.33
201611,1.64
201612,1.26
201701,3.06
201702,3.77
201703,3.15
201704,3.04
201705,3.25
201706,3.19
201707,-0.22
201708,-0.39
201709,-0.61
201710,-1
201711,-1.43
201712,-2.49
201801,-2.66
201802,-3.44
201803,-2.62
201804,-2.49
201805,-3.19
201806,-3.69
201807,-3.9
201808,-3.66
201809,-3.58
201810,-3.75
201811,0.46
201812,-0.38
201901,-0.46
201902,0.83
201903,0.99
201904,0.44
201905,1.29
201906,1.84
201907,0.03
201908,-0.07
201909,-0.3
201910,-0.79
201911,-1.23
201912,0.74
202001,-0.76
202002,-1.88
202003,-1.67
202004,-1.63
202005,-2.31
202006,-2.87
202007,-3.07
202008,-2.91
202009,-2.93
202010,-3.31
202011,-3.39
202012,-3.61
202101,-2.74
202102,-3.39
202103,-3.58
202104,-4.21
202105,-4.82
202106,-5.23
202107,-5.32
202108,-4.95
202109,-4.74
202110,-3.3
202111,-3.69
202112,-2.2
202201,-3.03
202202,-3.82
202203,-4.22
202204,-4.29
202205,-4.76
202206,-5.1
202207,-5.12
202208,-4.73
202209,-4.25
202210,-4.45
202211,-0.02
202212,1.52
202301,3.81
202302,3.91
202303,5.05
202304,4.19
202305,4.56
202306,4.71
202307,4.86
202308,4.37
202309,3.7
202310,2.76
202311,2.03
202312,1.78
202401,2.05
202402,2.87
202403,2.79
202404,2.99
202405,3.63
202406,4.14
202407,-0.17
202408,-0.34
202409,-0.61
202410,-1.28
202411,-1.15
202412,-1.47
