#  Mono County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.07
201402,-5.13
201403,-5.42
201404,-5.6
201405,-5.7
201406,-6.44
201407,-6.39
201408,-5.73
201409,-5.3
201410,-5.5
201411,-5.67
201412,-5.57
201501,-6.41
201502,-6.78
201503,-7.7
201504,-7.75
201505,-6.48
201506,-6.66
201507,-6.06
201508,-6.12
201509,-5.93
201510,0.26
201511,0.44
201512,0.26
201601,0.38
201602,-0.57
201603,-0.67
201604,0.33
201605,0.58
201606,0.86
201607,-0.3
201608,-0.83
201609,-1.07
201610,1.11
201611,0.41
201612,0.21
201701,3.33
201702,4.49
201703,3.78
201704,4.37
201705,0.03
201706,-0.16
201707,-0.69
201708,-0.57
201709,-0.27
201710,-0.75
201711,-0.46
201712,-1.39
201801,-2.25
201802,-3.03
201803,0.98
201804,0.89
201805,1
201806,0.71
201807,1.1
201808,-0.39
201809,-0.84
201810,-0.98
201811,-0.85
201812,-1.44
201901,0.13
201902,1.53
201903,2.02
201904,1.19
201905,1.96
201906,1.84
201907,1.83
201908,-0.38
201909,-0.65
201910,-1.07
201911,-1.34
201912,-1.4
202001,-2.22
202002,-3.15
202003,-3.13
202004,-2.67
202005,-3
202006,-3.31
202007,-3.76
202008,-3.77
202009,-3.98
202010,-4.36
202011,-4.38
202012,-4.59
202101,-4.42
202102,-4.76
202103,-4.87
202104,-5.19
202105,-5.4
202106,-5.77
202107,-5.47
202108,-5.43
202109,-5.49
202110,-3.26
202111,-3.58
202112,-2.04
202201,-2.47
202202,-2.91
202203,-3.33
202204,-3.39
202205,-3.58
202206,-3.83
202207,-4.08
202208,0.92
202209,1.4
202210,0.64
202211,0.66
202212,2.03
202301,4.62
202302,4.88
202303,6.76
202304,5.49
202305,4.71
202306,4.69
202307,4.05
202308,4.53
202309,4.3
202310,-0.32
202311,-0.81
202312,-1.62
202401,-2.27
202402,-1.54
202403,-0.81
202404,-1.18
202405,-1.47
202406,-1.98
202407,-2.13
202408,-2.48
202409,-2.53
202410,-2.83
202411,-2.57
202412,-2.9
