#  Modoc County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4
201402,-4.26
201403,-3.57
201404,-3.58
201405,-3.8
201406,-4.18
201407,-4.65
201408,-4.45
201409,-4.36
201410,-3.73
201411,-3.55
201412,-2.84
201501,-3.67
201502,-4.06
201503,-4.81
201504,-4.87
201505,-4
201506,-4.39
201507,-4.1
201508,-4.15
201509,-3.88
201510,-3.96
201511,-3.73
201512,1.12
201601,1.97
201602,-0.64
201603,-0.25
201604,-0.57
201605,-0.21
201606,-0.31
201607,-0.65
201608,-1.07
201609,-1.51
201610,0.76
201611,0.2
201612,0.49
201701,1.44
201702,2.68
201703,2.34
201704,2.73
201705,-0.55
201706,-0.76
201707,-1.08
201708,-1.21
201709,-1.31
201710,-1.51
201711,-1.02
201712,-1.76
201801,-2.18
201802,-2.68
201803,0.34
201804,1.17
201805,1.62
201806,-0.22
201807,-0.36
201808,-0.86
201809,-1.35
201810,-1.28
201811,-1.46
201812,-1.54
201901,0.09
201902,1.37
201903,1.63
201904,1.97
201905,2.57
201906,1.96
201907,1.62
201908,1.36
201909,2.18
201910,-0.35
201911,-1.36
201912,-1.43
202001,-1.07
202002,-1.85
202003,-1.58
202004,-2
202005,-1.79
202006,-1.88
202007,-2.2
202008,-2.46
202009,-2.97
202010,-3.5
202011,-3.48
202012,-3.62
202101,-3.87
202102,-3.77
202103,-3.97
202104,-4.17
202105,-4.56
202106,-5.32
202107,-6.24
202108,-6.45
202109,-5.22
202110,-3.77
202111,-4.23
202112,-3.53
202201,-4.13
202202,-4.89
202203,-5.62
202204,-4.38
202205,-4.15
202206,-3.81
202207,-3.96
202208,-3.98
202209,-3.53
202210,-3.95
202211,0.05
202212,0.94
202301,1.08
202302,0.98
202303,2.36
202304,1.76
202305,2.03
202306,2.24
202307,2.08
202308,2.33
202309,2.46
202310,-0.47
202311,-0.7
202312,-1.36
202401,-1.3
202402,0.1
202403,0.77
202404,0.82
202405,-0.34
202406,-1.04
202407,-1.87
202408,-2.05
202409,-2.28
202410,-2.26
202411,0.65
202412,1.03
