#  Monterey County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-6.13
201402,-5.63
201403,-5.64
201404,-5.36
201405,-6.16
201406,-6.63
201407,-6.8
201408,-6.56
201409,-6.14
201410,-5.83
201411,-5.4
201412,-3.31
201501,-4.2
201502,-4.35
201503,-5.12
201504,-4.94
201505,-4.81
201506,-4.84
201507,-4.76
201508,-4.55
201509,-4.42
201510,-4.42
201511,-3.55
201512,-3.24
201601,-2.04
201602,-2.66
201603,-1.91
201604,-2.18
201605,-2.05
201606,-2.09
201607,-2.26
201608,-2.26
201609,-2.34
201610,1.13
201611,0.85
201612,0.42
201701,2.82
201702,3.55
201703,-0.47
201704,-0.39
201705,-0.32
201706,-0.24
201707,-0.39
201708,-0.57
201709,-0.78
201710,-1.26
201711,-1.69
201712,-2.81
201801,-2.94
201802,-3.75
201803,-2.27
201804,-2.23
201805,-2.05
201806,-1.93
201807,-1.91
201808,-2
201809,-2.11
201810,-2.34
201811,0.62
201812,0.21
201901,0.43
201902,1.85
201903,1.79
201904,0.95
201905,2.06
201906,2.24
201907,0.02
201908,-0.08
201909,-0.34
201910,-0.91
201911,-0.86
201912,1.51
202001,-0.75
202002,-1.71
202003,0.32
202004,0.66
202005,0.88
202006,1.02
202007,0
202008,-0.03
202009,-0.38
202010,-1.15
202011,-1.7
202012,-2.38
202101,-1.25
202102,-2.04
202103,-2.28
202104,-2.78
202105,-3.07
202106,-3.33
202107,-3.52
202108,-3.52
202109,-3.51
202110,-1.97
202111,-2.62
202112,-0.9
202201,-1.97
202202,-2.77
202203,-3.18
202204,-3.33
202205,-3.73
202206,-4.03
202207,-4.25
202208,-4.16
202209,-3.41
202210,-3.68
202211,0.02
202212,1.53
202301,3.42
202302,3.1
202303,4.42
202304,3.27
202305,3.22
202306,3
202307,2.81
202308,2.47
202309,2.04
202310,1.23
202311,0.67
202312,1.05
202401,1.03
202402,2.02
202403,2.11
202404,2.16
202405,2.33
202406,2.55
202407,0.05
202408,-0.22
202409,-0.25
202410,-0.98
202411,-0.65
202412,-1.22
