#  Marin County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.07
201402,-3.53
201403,-3.46
201404,-3.3
201405,-3.35
201406,-3.39
201407,-3.36
201408,-3.3
201409,-2.89
201410,-3.15
201411,-3.05
201412,-0.65
201501,-2.19
201502,-2.51
201503,-3.59
201504,-3.5
201505,-3.68
201506,-3.75
201507,-3.8
201508,-3.85
201509,-3.68
201510,-4.24
201511,-4.39
201512,-3.51
201601,-2.59
201602,-3.33
201603,-1.8
201604,-2.02
201605,-2.15
201606,-2.38
201607,-2.52
201608,-2.59
201609,-2.69
201610,1.81
201611,1.34
201612,1.07
201701,2.79
201702,3.99
201703,3.41
201704,3.81
201705,-0.34
201706,-0.31
201707,-0.45
201708,-0.7
201709,-0.97
201710,-1.66
201711,-1.38
201712,-2.54
201801,-2.44
201802,-3.27
201803,0.9
201804,1.7
201805,-0.27
201806,-0.37
201807,-0.49
201808,-0.67
201809,-0.89
201810,-1.12
201811,-0.91
201812,-1.49
201901,0.01
201902,1.8
201903,2.24
201904,1.48
201905,2.94
201906,3
201907,3.07
201908,0.03
201909,-0.2
201910,-1.01
201911,-1.62
201912,0.92
202001,-0.86
202002,-1.97
202003,-2.49
202004,-2.63
202005,-2.33
202006,-2.56
202007,-2.71
202008,-2.63
202009,-2.84
202010,-3.56
202011,-3.86
202012,-3.96
202101,-4.22
202102,-4.64
202103,-4.91
202104,-5.25
202105,-5.72
202106,-6.16
202107,-6.32
202108,-6.24
202109,-5.93
202110,-2.5
202111,-2.86
202112,-2.1
202201,-3.24
202202,-4.04
202203,-4.7
202204,-4.27
202205,-4.46
202206,-4.3
202207,-4.28
202208,-4.21
202209,-3.3
202210,-3.78
202211,-3.93
202212,1.45
202301,2.44
202302,2
202303,3.62
202304,-0.59
202305,-0.36
202306,-0.46
202307,-0.46
202308,-0.6
202309,-0.67
202310,-1.27
202311,-1.5
202312,0.27
202401,0.42
202402,0.96
202403,0.96
202404,-0.4
202405,-0.21
202406,-0.4
202407,-0.64
202408,-0.88
202409,-1.2
202410,-1.91
202411,1.43
202412,1.43
