#  Nevada County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-2.86
201402,-1.85
201403,-1.63
201404,-1.8
201405,-2.09
201406,-2.45
201407,-2.77
201408,-2.39
201409,-2.04
201410,-2.18
201411,-2.02
201412,-1.25
201501,-2.44
201502,-2.43
201503,-3.49
201504,-3.48
201505,-3.33
201506,-3.07
201507,-2.97
201508,-2.88
201509,-3.02
201510,-3.19
201511,0.02
201512,0.42
201601,1
201602,0.1
201603,1.38
201604,-0.27
201605,-0.25
201606,-0.44
201607,-0.8
201608,-1.05
201609,-1.44
201610,2.59
201611,1.59
201612,1.61
201701,3.68
201702,5.18
201703,4.46
201704,5.32
201705,-0.52
201706,-0.73
201707,-1.21
201708,-1.44
201709,-1.3
201710,-1.76
201711,-0.57
201712,-1.52
201801,-1.61
201802,-2.3
201803,1.53
201804,1.7
201805,-0.01
201806,-0.23
201807,-0.62
201808,-1.05
201809,-1.48
201810,-1.94
201811,-1.49
201812,-1.86
201901,0.42
201902,2.1
201903,2.04
201904,1.59
201905,2.89
201906,2.6
201907,2.4
201908,2
201909,2.73
201910,-0.75
201911,-1.15
201912,-0.55
202001,-1.19
202002,-2.11
202003,-1.94
202004,-1.81
202005,-1.27
202006,-1.22
202007,-1
202008,-1.11
202009,-1.59
202010,-2.41
202011,-2.27
202012,-2.4
202101,-2.54
202102,-2.84
202103,-3.17
202104,-3.74
202105,-4.15
202106,-4.83
202107,-5.46
202108,-5.56
202109,-5.11
202110,-1.67
202111,-2.7
202112,-1.67
202201,-2.65
202202,-3.36
202203,-4.14
202204,-3.16
202205,-3.34
202206,-2.79
202207,-2.7
202208,-2.63
202209,-1.98
202210,-2.67
202211,-0.03
202212,1.35
202301,2.14
202302,1.81
202303,3.11
202304,2.2
202305,2.01
202306,2.11
202307,2.11
202308,2.17
202309,2.14
202310,-0.46
202311,-0.73
202312,-0.85
202401,-0.8
202402,0.39
202403,0.68
202404,-0.51
202405,-0.51
202406,-0.8
202407,-1.45
202408,-1.36
202409,-1.73
202410,-2.23
202411,-1.29
202412,-1.21
