#  Orange County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.94
201402,-5.9
201403,-6.01
201404,-6.32
201405,-6.95
201406,-7.12
201407,-7.06
201408,-6.56
201409,-6.14
201410,-6.02
201411,-6
201412,-5.03
201501,-5.31
201502,-5.78
201503,-6.25
201504,-6.7
201505,-6.24
201506,-6.45
201507,-6.19
201508,-5.95
201509,-4.59
201510,-4.35
201511,-4.52
201512,-4.67
201601,-4.48
201602,-5.13
201603,-5.22
201604,-5.78
201605,-6
201606,-6.33
201607,-6.38
201608,-6.12
201609,-5.78
201610,-5.08
201611,-4.81
201612,-3.61
201701,-1.08
201702,-0.59
201703,-1.46
201704,-1.88
201705,-1.7
201706,-1.69
201707,-1.76
201708,-1.61
201709,-1.64
201710,-2.01
201711,-2.63
201712,-3.45
201801,-3.89
201802,-4.45
201803,-4.29
201804,-5.04
201805,-5.4
201806,-5.71
201807,-5.9
201808,-5.73
201809,-5.48
201810,0.33
201811,0.15
201812,0.14
201901,0.9
201902,2.1
201903,1.77
201904,1.29
201905,1.92
201906,2.33
201907,2.52
201908,2.28
201909,1.8
201910,1.14
201911,1.56
201912,2.17
202001,-0.77
202002,-1.64
202003,0.56
202004,1.75
202005,1.91
202006,1.88
202007,0
202008,-0.14
202009,-0.47
202010,-0.98
202011,-1.46
202012,-1.84
202101,-2.24
202102,-3.04
202103,-3.04
202104,-3.91
202105,-4.51
202106,-4.94
202107,-5.07
202108,-4.91
202109,-4.69
202110,-4.12
202111,-4.57
202112,-3.01
202201,-3.51
202202,-4.12
202203,-4.31
202204,-4.78
202205,-5.04
202206,-5.17
202207,-5.15
202208,-4.98
202209,-4.38
202210,-4.16
202211,0.19
202212,0.17
202301,1.48
202302,1.66
202303,3.49
202304,2.84
202305,3.33
202306,3.55
202307,3.89
202308,3.93
202309,-0.12
202310,-0.56
202311,-1.01
202312,-1.43
202401,-1.79
202402,1.91
202403,2.37
202404,2.08
202405,2.34
202406,2.63
202407,2.61
202408,-0.12
202409,1.74
202410,1.1
202411,-1.37
202412,-2.22
