#  Placer County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.09
201402,-2
201403,-1.92
201404,-2.1
201405,-2.21
201406,-2.49
201407,-2.76
201408,-2.49
201409,-1.91
201410,-2.2
201411,-2.15
201412,-1.45
201501,-2.65
201502,-2.53
201503,-3.59
201504,-3.47
201505,-3.08
201506,-2.59
201507,-2.46
201508,-2.37
201509,-2.55
201510,-2.67
201511,0.04
201512,0.39
201601,0.91
201602,-0.86
201603,1.03
201604,-0.17
201605,-0.05
201606,-0.24
201607,-0.62
201608,-0.86
201609,-1.24
201610,2.52
201611,1.37
201612,1.33
201701,3.67
201702,5.35
201703,4.63
201704,5.26
201705,-0.37
201706,-0.54
201707,-0.96
201708,-1.09
201709,-0.9
201710,-1.39
201711,-0.29
201712,-1.34
201801,-1.45
201802,-2.2
201803,1.71
201804,1.86
201805,1.73
201806,-0.2
201807,-0.59
201808,-0.98
201809,-1.39
201810,-1.82
201811,-1.46
201812,-1.8
201901,0.42
201902,2.4
201903,2.39
201904,1.8
201905,3.1
201906,2.74
201907,2.49
201908,2.09
201909,2.54
201910,-0.74
201911,-1.18
201912,-0.55
202001,-1.23
202002,-2.24
202003,-1.98
202004,-1.88
202005,-1.49
202006,-1.39
202007,-1.35
202008,-1.45
202009,-1.88
202010,-2.68
202011,-2.54
202012,-2.67
202101,-2.83
202102,-3.11
202103,-3.39
202104,-3.94
202105,-4.31
202106,-5.03
202107,-5.66
202108,-5.7
202109,-5.34
202110,-1.77
202111,-2.88
202112,-1.78
202201,-2.82
202202,-3.55
202203,-4.29
202204,-3.32
202205,-3.42
202206,-2.99
202207,-2.93
202208,-2.76
202209,-2.05
202210,-2.74
202211,-2.54
202212,1.55
202301,2.48
202302,2.27
202303,3.71
202304,2.65
202305,2.48
202306,2.46
202307,2.31
202308,2.41
202309,2.39
202310,-0.45
202311,-0.73
202312,-0.89
202401,-0.87
202402,0.43
202403,0.9
202404,-0.52
202405,-0.54
202406,-0.84
202407,-1.49
202408,-1.48
202409,-1.75
202410,-2.22
202411,-1.51
202412,-1.51
