#  Plumas County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.91
201402,-3.15
201403,-2.32
201404,-2.56
201405,-2.82
201406,-3.17
201407,-3.57
201408,-2.88
201409,-2.61
201410,-2.74
201411,-2.75
201412,-1.49
201501,-2.61
201502,-2.55
201503,-3.52
201504,-3.67
201505,-3.34
201506,-3.18
201507,-2.86
201508,-2.79
201509,-2.88
201510,-2.96
201511,-2.72
201512,0.27
201601,0.93
201602,0.12
201603,1.53
201604,-0.2
201605,-0.06
201606,-0.14
201607,-0.31
201608,-0.58
201609,-1
201610,1.92
201611,1.06
201612,1.08
201701,3.15
201702,4.85
201703,4.34
201704,5.6
201705,-0.6
201706,-0.93
201707,-1.5
201708,-1.7
201709,-1.47
201710,-1.88
201711,-0.75
201712,-1.68
201801,-1.83
201802,-2.5
201803,1.46
201804,1.7
201805,1.62
201806,-0.23
201807,-0.49
201808,-0.93
201809,-1.38
201810,-1.77
201811,-1.65
201812,-1.76
201901,0.62
201902,2.35
201903,2.51
201904,2.09
201905,3.11
201906,2.67
201907,2.35
201908,1.94
201909,2.66
201910,-0.65
201911,-1.22
201912,-0.7
202001,-1.29
202002,-2.22
202003,-2.19
202004,-2.21
202005,-1.52
202006,-1.55
202007,-1.32
202008,-1.4
202009,-1.84
202010,-2.56
202011,-2.53
202012,-2.6
202101,-2.77
202102,-3.01
202103,-3.17
202104,-3.57
202105,-3.98
202106,-4.52
202107,-5.11
202108,-5.3
202109,-5.02
202110,-2.08
202111,-2.95
202112,-1.84
202201,-2.77
202202,-3.47
202203,-4.23
202204,-3.18
202205,-3.36
202206,-2.94
202207,-2.92
202208,-3
202209,-2.54
202210,-3.16
202211,-2.97
202212,0.93
202301,1.94
202302,1.43
202303,3.4
202304,2.6
202305,2.37
202306,2.85
202307,2.94
202308,2.97
202309,3.23
202310,-0.6
202311,-1
202312,-1.12
202401,-1.31
202402,0.82
202403,1.76
202404,-0.48
202405,-0.37
202406,-0.78
202407,-1.28
202408,-1.2
202409,-1.64
202410,-1.99
202411,-0.96
202412,-0.96
