#  Riverside County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.42
201402,-3.88
201403,-4.22
201404,-4.57
201405,-4.96
201406,-5.14
201407,-4.88
201408,-3.89
201409,-3.29
201410,-3.48
201411,-3.62
201412,-3.06
201501,-3.17
201502,-3.76
201503,-4.15
201504,-4.5
201505,-4.29
201506,-4.51
201507,-3.5
201508,-3.66
201509,-3.25
201510,-2.69
201511,-2.79
201512,-2.95
201601,-2.34
201602,-3
201603,-3.54
201604,-3.52
201605,-3.69
201606,-3.93
201607,-3.97
201608,-4.05
201609,-3.42
201610,-3.2
201611,-3.16
201612,0.77
201701,2.22
201702,2.59
201703,-0.59
201704,0.05
201705,0.45
201706,0.59
201707,0.16
201708,0.21
201709,0.58
201710,-0.52
201711,-1.19
201712,-1.95
201801,-2.23
201802,-2.86
201803,-3.02
201804,-3.78
201805,-4.16
201806,-4.41
201807,-4.11
201808,-4.02
201809,-4.08
201810,0.8
201811,0.47
201812,0.34
201901,0.55
201902,2.15
201903,1.97
201904,1.98
201905,2.44
201906,3.13
201907,2.76
201908,1.89
201909,1.85
201910,1.25
201911,1.86
201912,2.19
202001,-0.62
202002,-1.32
202003,1.25
202004,2.31
202005,2.26
202006,-0.19
202007,-0.64
202008,-1.16
202009,-1.53
202010,-1.95
202011,-2.17
202012,-2.5
202101,-2.51
202102,-3.12
202103,-3.23
202104,-3.88
202105,-4.37
202106,-4.62
202107,-3.73
202108,-3.64
202109,-3.48
202110,-3.17
202111,-3.64
202112,-2.99
202201,-3.41
202202,-3.88
202203,-4.33
202204,-4.82
202205,-5.21
202206,-5.36
202207,-5.25
202208,0.34
202209,0.75
202210,0.95
202211,0.86
202212,0.38
202301,0.84
202302,0.64
202303,1.76
202304,1.62
202305,1.83
202306,1.87
202307,1.47
202308,2.31
202309,2.52
202310,-0.49
202311,1.35
202312,0.69
202401,0.59
202402,1.17
202403,1.41
202404,1.38
202405,1.12
202406,0.8
202407,-0.77
202408,-1.26
202409,-1.52
202410,-1.96
202411,-2.24
202412,-2.91
