#  San Bernardino County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.05
201402,-3.59
201403,-4.04
201404,-4.29
201405,-4.58
201406,-4.74
201407,-4.25
201408,-3.18
201409,-2.75
201410,-3.01
201411,-3.23
201412,-2.62
201501,-2.47
201502,-2.86
201503,-3.55
201504,-3.81
201505,-3.85
201506,-4.03
201507,-2.52
201508,-2.84
201509,-2.63
201510,-1.86
201511,-1.89
201512,-2.12
201601,-1.76
201602,-2.32
201603,-2.98
201604,-2.82
201605,-3.09
201606,-3.41
201607,-3.49
201608,-3.46
201609,-3.3
201610,-2.85
201611,-2.96
201612,0.77
201701,2.01
201702,2.11
201703,-0.49
201704,-0.48
201705,0.35
201706,0.43
201707,-0.18
201708,-0.41
201709,-0.28
201710,-0.77
201711,-1.42
201712,-2.1
201801,-2.26
201802,-2.8
201803,-2.81
201804,-3.48
201805,-3.69
201806,-3.94
201807,-3.49
201808,-3.65
201809,-3.8
201810,0.51
201811,0.21
201812,0.09
201901,0.51
201902,1.8
201903,2.07
201904,2.33
201905,2.88
201906,3.64
201907,2.98
201908,2.05
201909,1.71
201910,1.14
201911,1.65
201912,2.38
202001,1.52
202002,0.7
202003,1.48
202004,2.46
202005,-0.22
202006,-0.5
202007,-1.08
202008,-1.6
202009,-1.99
202010,-2.39
202011,-2.58
202012,-2.84
202101,-2.88
202102,-3.42
202103,-3.65
202104,-4.21
202105,-4.62
202106,-4.76
202107,-3.99
202108,-3.95
202109,-3.83
202110,-3.41
202111,-3.83
202112,-3.04
202201,-3.39
202202,-3.66
202203,-4.21
202204,-4.61
202205,-4.94
202206,-5.02
202207,-0.04
202208,0.47
202209,-0.06
202210,-0.19
202211,-0.03
202212,-0.34
202301,0.45
202302,0.35
202303,1.41
202304,1.47
202305,1.55
202306,1.55
202307,0.9
202308,1.89
202309,1.79
202310,-0.45
202311,-0.74
202312,-1.14
202401,-1.27
202402,1.01
202403,1.39
202404,1.64
202405,-0.04
202406,1.11
202407,-0.76
202408,-1.29
202409,-1.55
202410,-2.02
202411,-2.23
202412,-2.86
