#  Santa Clara County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.98
201402,-5.58
201403,-5.57
201404,-5.29
201405,-5.85
201406,-6.31
201407,-6.49
201408,-6.28
201409,-5.6
201410,-5.39
201411,-5.02
201412,-2.4
201501,-3.5
201502,-3.61
201503,-4.53
201504,-4.45
201505,-4.22
201506,-4.25
201507,-4.31
201508,-4.1
201509,-4.06
201510,-4.33
201511,0.26
201512,0.44
201601,1.4
201602,0.37
201603,1.59
201604,1.45
201605,1.3
201606,1.16
201607,0.77
201608,0.47
201609,0.09
201610,1.77
201611,1.57
201612,1.4
201701,3.79
201702,5.03
201703,4.28
201704,4.23
201705,-0.19
201706,-0.11
201707,-0.33
201708,-0.6
201709,-0.8
201710,-1.35
201711,-1.35
201712,-2.47
201801,-2.49
201802,-3.35
201803,-2.29
201804,-1.73
201805,-1.71
201806,-1.45
201807,-1.4
201808,-1.56
201809,-1.73
201810,-2.24
201811,0.36
201812,-0.43
201901,0.2
201902,1.86
201903,2.42
201904,1.59
201905,2.95
201906,3.2
201907,2.98
201908,-0.06
201909,-0.27
201910,-0.95
201911,-1.39
201912,-0.64
202001,-1.26
202002,-2.31
202003,-1.83
202004,-1.49
202005,-0.97
202006,-0.66
202007,-0.66
202008,-0.75
202009,-1.07
202010,-1.88
202011,-2.47
202012,-2.89
202101,-2.75
202102,-3.36
202103,-3.51
202104,-3.97
202105,-4.47
202106,-4.95
202107,-5.2
202108,-5.11
202109,-4.97
202110,-2.37
202111,-2.67
202112,-0.83
202201,-2.02
202202,-2.92
202203,-3.62
202204,-3.47
202205,-3.83
202206,-4.2
202207,-4.38
202208,-4.32
202209,-3.36
202210,-3.77
202211,0
202212,2.33
202301,3.89
202302,3.8
202303,5.37
202304,4.1
202305,4.04
202306,3.6
202307,3.23
202308,2.75
202309,2.27
202310,1.4
202311,0.64
202312,0.72
202401,1.26
202402,1.94
202403,2.41
202404,2.33
202405,2.44
202406,2.51
202407,-0.12
202408,-0.47
202409,-0.77
202410,-1.54
202411,-1.58
202412,-1.39
