#  Santa Cruz County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.85
201402,-4.88
201403,-4.81
201404,-4.67
201405,-4.64
201406,-4.71
201407,-4.68
201408,-4.61
201409,-3.87
201410,-3.99
201411,-3.62
201412,-1.61
201501,-2.94
201502,-3.11
201503,-4.09
201504,-3.97
201505,-4.02
201506,-4.19
201507,-4.33
201508,-4.35
201509,-4.41
201510,-4.86
201511,-4.34
201512,-3.77
201601,-2.54
201602,-3.25
201603,-1.68
201604,-1.87
201605,-1.97
201606,-2.21
201607,-2.43
201608,-2.48
201609,-2.61
201610,1.75
201611,1.2
201612,1.14
201701,3.46
201702,4.64
201703,4.08
201704,4.16
201705,-0.33
201706,-0.39
201707,-0.6
201708,-0.8
201709,-1.08
201710,-1.71
201711,-1.55
201712,-2.54
201801,-2.46
201802,-3.21
201803,-1.97
201804,-1.56
201805,-1.7
201806,-1.64
201807,-1.66
201808,-1.77
201809,-1.93
201810,-2.54
201811,-2.03
201812,-2.35
201901,0.32
201902,1.58
201903,2.07
201904,1.23
201905,2.71
201906,2.82
201907,2.83
201908,0.01
201909,-0.26
201910,-1.05
201911,-1.4
201912,0.83
202001,-0.88
202002,-1.91
202003,-2.07
202004,-1.72
202005,-1.35
202006,-1.18
202007,-1.22
202008,-1.27
202009,-1.57
202010,-2.36
202011,-2.71
202012,-2.96
202101,-2.54
202102,-3.11
202103,-3.3
202104,-3.75
202105,-3.97
202106,-4.24
202107,-4.38
202108,-4.37
202109,-4.35
202110,-1.87
202111,-2.45
202112,-0.68
202201,-1.95
202202,-2.8
202203,-3.35
202204,-3
202205,-3.22
202206,-3.37
202207,-3.47
202208,-3.46
202209,-2.49
202210,-3
202211,-0.02
202212,2.17
202301,3.25
202302,3.04
202303,4.75
202304,-0.73
202305,-0.27
202306,-0.25
202307,-0.28
202308,-0.4
202309,-0.57
202310,-1.28
202311,-1.7
202312,0.15
202401,0.59
202402,1.07
202403,1.37
202404,1.16
202405,1.41
202406,1.48
202407,0.03
202408,-0.21
202409,-0.54
202410,-1.34
202411,-1.37
202412,-1.27
