#  San Diego County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.53
201402,-4.76
201403,-5
201404,-5.37
201405,-6.19
201406,-6.62
201407,-6.75
201408,-6
201409,-5.56
201410,-5.59
201411,-5.57
201412,-4.77
201501,-5.1
201502,-5.53
201503,-5.84
201504,-6.22
201505,-5.63
201506,-5.96
201507,-5.43
201508,-5.4
201509,-4.25
201510,-3.91
201511,-3.73
201512,-3.66
201601,-2.85
201602,-3.59
201603,-3.87
201604,-4
201605,-3.97
201606,-4.24
201607,-4.54
201608,-4.64
201609,-3.73
201610,-3.77
201611,-3.6
201612,0.62
201701,1.89
201702,2.49
201703,-0.94
201704,-1.49
201705,-0.98
201706,-0.95
201707,-1.25
201708,-1.12
201709,-1.14
201710,-1.59
201711,-2.28
201712,-3.12
201801,-3.22
201802,-3.64
201803,-3.64
201804,-4.42
201805,-5.02
201806,-5.57
201807,-5.84
201808,-5.84
201809,-5.65
201810,-5.16
201811,0.03
201812,-0.11
201901,0.07
201902,1.89
201903,1.4
201904,0.95
201905,1.7
201906,2.25
201907,2.34
201908,1.77
201909,1.6
201910,0.95
201911,1.94
201912,2.41
202001,1.51
202002,0.6
202003,1.43
202004,2.64
202005,2.98
202006,3.26
202007,3.02
202008,-0.41
202009,-0.8
202010,-1.3
202011,-1.44
202012,-1.91
202101,-2.02
202102,-2.76
202103,-2.55
202104,-3.13
202105,-3.95
202106,-4.69
202107,-4.74
202108,-4.25
202109,-4.05
202110,-3.31
202111,-3.86
202112,-2.81
202201,-3.34
202202,-3.66
202203,-3.72
202204,-4.21
202205,-4.62
202206,-4.95
202207,-5.18
202208,-4.99
202209,0.71
202210,0.59
202211,0.87
202212,0.54
202301,2.45
202302,2.33
202303,3.83
202304,3.08
202305,3.15
202306,3.16
202307,3.13
202308,3.77
202309,3.3
202310,2.55
202311,2
202312,1.1
202401,1.13
202402,1.96
202403,2.15
202404,1.89
202405,2.08
202406,2.26
202407,-0.23
202408,-0.62
202409,-0.94
202410,-1.43
202411,-1.86
202412,-2.73
