#  Shasta County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.62
201402,-2.22
201403,-1.33
201404,-1.7
201405,-2.17
201406,-2.74
201407,-3.33
201408,-3.28
201409,-2.51
201410,-2.1
201411,-2.08
201412,-0.78
201501,-2.01
201502,-1.82
201503,-2.66
201504,-2.86
201505,-2.82
201506,-3.02
201507,-3.28
201508,-3.35
201509,-3.15
201510,-3.48
201511,-3.43
201512,0.74
201601,1.73
201602,0.84
201603,1.96
201604,-0.42
201605,0.05
201606,0.39
201607,-0.02
201608,-0.32
201609,-0.81
201610,2.01
201611,1.32
201612,1.24
201701,2.4
201702,3.48
201703,3.19
201704,3.8
201705,-0.62
201706,-0.97
201707,-1.55
201708,-1.88
201709,-2
201710,-2.37
201711,-1.56
201712,-2.58
201801,-2.71
201802,-3.45
201803,-2.54
201804,-1.74
201805,-1.77
201806,-2.05
201807,-2.5
201808,-2.76
201809,-2.98
201810,-3.15
201811,0.15
201812,-0.21
201901,0.23
201902,1.65
201903,2.48
201904,2.37
201905,3.38
201906,-0.2
201907,-0.34
201908,0.24
201909,0.46
201910,-0.65
201911,-1.16
201912,-0.56
202001,-0.88
202002,-1.93
202003,-1.64
202004,-2
202005,-1.05
202006,-1.06
202007,-0.94
202008,-1.03
202009,-1.52
202010,-2.3
202011,-2.41
202012,-2.55
202101,-2.61
202102,-2.84
202103,-2.99
202104,-3.41
202105,-3.97
202106,-4.79
202107,-5.54
202108,-5.59
202109,-5.1
202110,-3.01
202111,-3.52
202112,-3.19
202201,-3.97
202202,-4.68
202203,-5.18
202204,-4.41
202205,-4.47
202206,-4.11
202207,-4.04
202208,-4.09
202209,-3.64
202210,-4.17
202211,-3.93
202212,0.68
202301,1.42
202302,0.79
202303,2.56
202304,-0.41
202305,0.15
202306,0.22
202307,0.05
202308,0.18
202309,0.5
202310,-0.7
202311,-0.97
202312,0.08
202401,0.28
202402,0.85
202403,1.39
202404,-0.28
202405,-0.46
202406,-0.98
202407,-1.9
202408,-1.72
202409,-1.92
202410,-2.32
202411,1.07
202412,1.34
