#  Sierra County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.41
201402,-2.66
201403,-2.34
201404,-2.56
201405,-2.68
201406,-2.96
201407,-3.09
201408,-2.29
201409,-1.96
201410,-2.07
201411,-2.12
201412,-1.38
201501,-2.56
201502,-2.47
201503,-3.5
201504,-3.53
201505,-3.18
201506,-2.92
201507,-2.37
201508,-2.18
201509,-2.35
201510,-2.51
201511,-0.01
201512,0.34
201601,0.9
201602,0.01
201603,1.39
201604,-0.19
201605,-0.06
201606,-0.32
201607,-0.56
201608,-0.83
201609,-1.26
201610,2.48
201611,1.55
201612,1.66
201701,4.04
201702,5.85
201703,5.12
201704,6.21
201705,-0.48
201706,-0.72
201707,-1.26
201708,-1.48
201709,-1.17
201710,-1.63
201711,-0.46
201712,-1.4
201801,-1.65
201802,-2.27
201803,1.59
201804,1.66
201805,1.69
201806,-0.23
201807,-0.25
201808,-0.65
201809,-1.12
201810,-1.63
201811,-1.41
201812,-1.78
201901,0.52
201902,2.32
201903,2.27
201904,1.88
201905,2.86
201906,2.46
201907,2.18
201908,1.72
201909,2.37
201910,-0.69
201911,-1.07
201912,-0.73
202001,-1.39
202002,-2.32
202003,-2.1
202004,-2.08
202005,-1.57
202006,-1.61
202007,-1.45
202008,-1.55
202009,-2
202010,-2.71
202011,-2.58
202012,-2.67
202101,-2.85
202102,-3.18
202103,-3.47
202104,-3.95
202105,-4.3
202106,-4.8
202107,-5.4
202108,-5.55
202109,-5.17
202110,-1.99
202111,-2.78
202112,-1.56
202201,-2.58
202202,-3.29
202203,-4.12
202204,-3.14
202205,-3.34
202206,-2.74
202207,-2.7
202208,-2.69
202209,-2.14
202210,-2.77
202211,-2.57
202212,1.19
202301,2.06
202302,1.83
202303,3.17
202304,2.35
202305,2.16
202306,2.48
202307,2.57
202308,2.81
202309,2.93
202310,-0.55
202311,-0.89
202312,-1.05
202401,-1.25
202402,0.43
202403,1.06
202404,-0.53
202405,-0.56
202406,-0.98
202407,-1.46
202408,-1.31
202409,-1.68
202410,-2.11
202411,-1.2
202412,-1.21
