#  Siskiyou County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-3.82
201402,-2.99
201403,-2.18
201404,-2.55
201405,-2.84
201406,-3.19
201407,-3.66
201408,-3.75
201409,-2.69
201410,-2.01
201411,-2.24
201412,-1.78
201501,-2.85
201502,-2.12
201503,-2.75
201504,-3.03
201505,-2.8
201506,-2.97
201507,-2.97
201508,-3.07
201509,-3.09
201510,-3.55
201511,-3.68
201512,1.03
201601,1.91
201602,1.05
201603,2.06
201604,-0.38
201605,-0.6
201606,-0.59
201607,-0.84
201608,-1.21
201609,-1.63
201610,2.3
201611,1.47
201612,1.22
201701,2.04
201702,3.4
201703,3.1
201704,3.57
201705,-0.58
201706,-0.85
201707,-1.47
201708,-1.71
201709,-1.92
201710,-2.29
201711,-1.83
201712,-2.65
201801,-2.96
201802,-3.62
201803,-3.01
201804,-2.38
201805,-2.29
201806,-2.44
201807,-2.69
201808,-3.01
201809,-3.2
201810,-3.5
201811,-3.5
201812,-3.45
201901,-3.2
201902,1.58
201903,1.26
201904,1.31
201905,1.62
201906,-0.42
201907,-0.71
201908,0.09
201909,0.68
201910,-0.52
201911,-1.23
201912,-1.17
202001,-1.1
202002,-2.22
202003,-2.73
202004,-3.17
202005,-2.45
202006,-2.34
202007,-2.13
202008,-1.89
202009,-2.33
202010,-3.04
202011,-2.94
202012,-3.02
202101,-2.97
202102,-3.01
202103,-3.28
202104,-3.79
202105,-4.29
202106,-4.83
202107,-5.61
202108,-5.82
202109,-5.04
202110,-3.71
202111,-4.05
202112,-3.72
202201,-4.53
202202,-5.29
202203,-5.72
202204,-4.62
202205,-4.42
202206,-3.96
202207,-3.63
202208,-3.65
202209,-3.51
202210,-4.11
202211,-3.94
202212,-3.08
202301,-2.55
202302,-2.79
202303,-1.31
202304,-1.52
202305,-1.46
202306,-1.45
202307,-1.76
202308,-1.68
202309,-1.34
202310,-1.82
202311,-2.17
202312,-2.01
202401,0.56
202402,0.77
202403,1.1
202404,-0.32
202405,-0.56
202406,-1.07
202407,-1.93
202408,-1.9
202409,-2.22
202410,-2.61
202411,-1.36
202412,-0.91
