#  San Joaquin County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.17
201402,-4.93
201403,-5.02
201404,-4.93
201405,-6.1
201406,-6.73
201407,-6.8
201408,-6.35
201409,-5.45
201410,-5.3
201411,-5.12
201412,-3.09
201501,-3.8
201502,-3.96
201503,-4.93
201504,-4.85
201505,-5.13
201506,-5.34
201507,-5.35
201508,-4.93
201509,-4.75
201510,-4.89
201511,0.19
201512,0.09
201601,0.9
201602,0.03
201603,0.66
201604,1.17
201605,1.53
201606,1.71
201607,1.34
201608,1.08
201609,0.67
201610,2.35
201611,1.92
201612,1.6
201701,3.42
201702,4.67
201703,4.06
201704,4.3
201705,4.26
201706,4.2
201707,-0.2
201708,-0.37
201709,-0.65
201710,-1.12
201711,-1.17
201712,-2.32
201801,-2.46
201802,-3.3
201803,-2.84
201804,-2.21
201805,-2.73
201806,-3.3
201807,-3.58
201808,-3.44
201809,-3.39
201810,-3.24
201811,0.35
201812,-0.15
201901,-0.34
201902,1.28
201903,1.59
201904,1.1
201905,2.31
201906,2.95
201907,-0.03
201908,-0.14
201909,-0.14
201910,-0.73
201911,-1.26
201912,-0.98
202001,-1.81
202002,-3.06
202003,-3.15
202004,-3.27
202005,-4.15
202006,-4.91
202007,-5.1
202008,-4.84
202009,-4.71
202010,-5.03
202011,-5.28
202012,-5.32
202101,-5.01
202102,-5.4
202103,-5.58
202104,-6.12
202105,-7
202106,-7.53
202107,-7.56
202108,-7.05
202109,-6.65
202110,-3.29
202111,-3.39
202112,-1.98
202201,-2.87
202202,-3.75
202203,-4.49
202204,-4.61
202205,-5.31
202206,-5.78
202207,-5.84
202208,-5.49
202209,-4.87
202210,-5.1
202211,-4.7
202212,2.41
202301,4.61
202302,4.39
202303,5.64
202304,-0.47
202305,-0.27
202306,-0.18
202307,-0.05
202308,-0.18
202309,-0.4
202310,-0.85
202311,-1.38
202312,-1.41
202401,0.1
202402,0.51
202403,0.52
202404,1.03
202405,1.58
202406,1.98
202407,-0.38
202408,-0.5
202409,-0.8
202410,-1.5
202411,-1.22
202412,-1.15
