#  San Mateo County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-6
201402,-5.26
201403,-5.31
201404,-5.01
201405,-5.27
201406,-5.51
201407,-5.59
201408,-5.51
201409,-4.89
201410,-4.93
201411,-4.77
201412,-2.13
201501,-3.45
201502,-3.63
201503,-4.61
201504,-4.49
201505,-4.55
201506,-4.62
201507,-4.69
201508,-4.7
201509,-4.68
201510,-5.09
201511,-4.84
201512,-4.1
201601,-3.21
201602,-3.88
201603,1.23
201604,-0.09
201605,-0.33
201606,-0.55
201607,-0.77
201608,-0.93
201609,-1.19
201610,1.62
201611,1.16
201612,1.07
201701,2.94
201702,4.08
201703,3.49
201704,3.53
201705,-0.32
201706,-0.37
201707,-0.52
201708,-0.7
201709,-0.9
201710,-1.47
201711,-1.25
201712,-2.47
201801,-2.25
201802,-3.11
201803,-2.3
201804,-1.7
201805,-1.77
201806,-1.63
201807,-1.58
201808,-1.64
201809,-1.77
201810,-2.35
201811,-1.99
201812,-2.51
201901,0.06
201902,1.49
201903,1.85
201904,1.09
201905,2.42
201906,2.54
201907,2.34
201908,-0.11
201909,-0.36
201910,-1.14
201911,-1.59
201912,-1.31
202001,-2.06
202002,-3.11
202003,-3.31
202004,-3.15
202005,-3.15
202006,-3.46
202007,-3.66
202008,-3.66
202009,-3.79
202010,-4.37
202011,-4.7
202012,-4.94
202101,-5
202102,-5.27
202103,-5.4
202104,-5.7
202105,-6.15
202106,-6.58
202107,-6.72
202108,-6.61
202109,-6.35
202110,-3.51
202111,-3.92
202112,-1.97
202201,-3.12
202202,-3.97
202203,-4.58
202204,-4.18
202205,-4.4
202206,-4.55
202207,-4.56
202208,-4.46
202209,-3.99
202210,-4.35
202211,-4.14
202212,2.22
202301,3.4
202302,3.16
202303,4.59
202304,-0.67
202305,-0.07
202306,-0.07
202307,-0.07
202308,-0.08
202309,-0.25
202310,-1
202311,-1.47
202312,-1.53
202401,0.41
202402,0.8
202403,1
202404,0.62
202405,1.12
202406,1.06
202407,-0.12
202408,-0.36
202409,-0.68
202410,-1.51
202411,-1.21
202412,-0.98
