#  Sonoma County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.23
201402,-2.66
201403,-2.52
201404,-2.64
201405,-2.91
201406,-3.21
201407,-3.4
201408,-3.37
201409,-2.71
201410,-3.03
201411,-2.9
201412,-1.02
201501,-2.42
201502,-2.43
201503,-3.52
201504,-3.61
201505,-3.82
201506,-4.06
201507,-4.19
201508,-4.14
201509,-3.66
201510,-4.24
201511,-4.3
201512,-3.2
201601,-2.28
201602,-3
201603,-1.25
201604,-1.6
201605,-1.77
201606,-2.03
201607,-2.27
201608,-2.35
201609,-2.51
201610,2.06
201611,1.28
201612,0.92
201701,2.57
201702,3.67
201703,2.96
201704,3.38
201705,-0.45
201706,-0.51
201707,-0.75
201708,-1
201709,-1.25
201710,-1.9
201711,-1.41
201712,-2.51
201801,-2.37
201802,-3.12
201803,-2.27
201804,-0.97
201805,-1.18
201806,-1.32
201807,-1.5
201808,-1.66
201809,-1.77
201810,-1.95
201811,-1.58
201812,-1.87
201901,0.07
201902,2.07
201903,2.59
201904,2.09
201905,3.86
201906,3.79
201907,3.79
201908,0.04
201909,-0.18
201910,-1.02
201911,-1.56
201912,-0.58
202001,-1.37
202002,-2.36
202003,-2.99
202004,-3.29
202005,-2.68
202006,-2.81
202007,-2.94
202008,-2.82
202009,-3.01
202010,-3.76
202011,-3.91
202012,-3.83
202101,-3.91
202102,-4.22
202103,-4.31
202104,-4.68
202105,-4.93
202106,-5.28
202107,-5.44
202108,-5.34
202109,-5
202110,-1.68
202111,-2.52
202112,-2.14
202201,-3.25
202202,-3.98
202203,-4.58
202204,-4.11
202205,-4.09
202206,-3.53
202207,-3.31
202208,-3.05
202209,-1.9
202210,-2.58
202211,-2.68
202212,0.94
202301,2.11
202302,1.6
202303,3.57
202304,-0.6
202305,-0.3
202306,-0.39
202307,-0.36
202308,-0.48
202309,-0.51
202310,-1.01
202311,-1.25
202312,0.48
202401,0.61
202402,1.43
202403,1.45
202404,-0.48
202405,-0.43
202406,-0.72
202407,-1.12
202408,-1.3
202409,-1.6
202410,-2.27
202411,1.57
202412,1.59
