#  Stanislaus County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.91
201402,-5.65
201403,-5.7
201404,-5.66
201405,-6.72
201406,-7.33
201407,-7.39
201408,-6.86
201409,-6.15
201410,-5.79
201411,-5.34
201412,-3.14
201501,-3.75
201502,-3.73
201503,-4.6
201504,-4.61
201505,-4.73
201506,-4.89
201507,-4.92
201508,-4.57
201509,-4.4
201510,-4.37
201511,0.52
201512,0.65
201601,1.8
201602,0.9
201603,1.63
201604,1.91
201605,2.24
201606,2.38
201607,1.9
201608,1.55
201609,1.11
201610,2.58
201611,1.96
201612,1.6
201701,3.42
201702,4.38
201703,3.7
201704,3.63
201705,3.65
201706,3.46
201707,-0.27
201708,-0.49
201709,-0.71
201710,-1.15
201711,-1.39
201712,-2.57
201801,-2.75
201802,-3.6
201803,-3
201804,-2.53
201805,-3.04
201806,-3.53
201807,-3.79
201808,-3.64
201809,-3.55
201810,-3.7
201811,0.53
201812,0.29
201901,0.25
201902,1.42
201903,1.75
201904,1.09
201905,2.14
201906,2.71
201907,0.01
201908,-0.09
201909,-0.23
201910,-0.78
201911,-1.31
201912,-0.58
202001,-1.33
202002,-2.49
202003,-2.27
202004,-2.15
202005,-2.76
202006,-3.32
202007,-3.55
202008,-3.38
202009,-3.36
202010,-3.76
202011,-4.05
202012,-4.22
202101,-3.56
202102,-4.01
202103,-4.17
202104,-4.67
202105,-5.39
202106,-5.88
202107,-6.02
202108,-5.65
202109,-5.36
202110,-3
202111,-3.42
202112,-1.71
202201,-2.59
202202,-3.43
202203,-4.02
202204,-4.18
202205,-4.75
202206,-5.18
202207,-5.25
202208,-4.89
202209,-4.36
202210,-4.6
202211,-4.17
202212,2.18
202301,4.49
202302,4.47
202303,5.64
202304,4.54
202305,4.38
202306,4.11
202307,3.92
202308,3.49
202309,2.95
202310,2.18
202311,1.37
202312,1.12
202401,1.62
202402,2.61
202403,2.66
202404,2.76
202405,3.17
202406,3.5
202407,-0.34
202408,-0.54
202409,-0.79
202410,-1.48
202411,-1.41
202412,-1.46
