#  Sutter County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.91
201402,-4.51
201403,-4.59
201404,-4.55
201405,-5.45
201406,-6.19
201407,-6.28
201408,-5.74
201409,-4.99
201410,-4.99
201411,-4.79
201412,-2.51
201501,-3.49
201502,-3.5
201503,-4.45
201504,-4.15
201505,-4.39
201506,-4.7
201507,-4.86
201508,-4.5
201509,-4.34
201510,-4.72
201511,-4.21
201512,-4.25
201601,-3.36
201602,-3.91
201603,-1.86
201604,-2.13
201605,-2.12
201606,-2.47
201607,-2.72
201608,-2.59
201609,-2.66
201610,0.99
201611,0.5
201612,0.31
201701,2.1
201702,3.37
201703,2.93
201704,3.28
201705,3.01
201706,3
201707,-0.25
201708,-0.42
201709,-0.73
201710,-1.19
201711,-1.05
201712,-2.19
201801,-2.05
201802,-2.91
201803,0.83
201804,1.25
201805,1.18
201806,1.15
201807,-0.25
201808,-0.39
201809,-0.67
201810,-1.2
201811,-1.09
201812,-1.32
201901,0.37
201902,2.48
201903,2.84
201904,2.07
201905,3.43
201906,3.85
201907,-0.22
201908,-0.31
201909,-0.21
201910,-0.82
201911,-1.6
201912,-0.83
202001,-1.59
202002,-2.64
202003,-3.07
202004,-3.31
202005,-3.63
202006,-4.18
202007,-4.32
202008,-3.96
202009,-3.93
202010,-4.4
202011,-4.64
202012,-5.05
202101,-5.39
202102,-5.87
202103,-5.96
202104,-6.49
202105,-7.87
202106,-8.73
202107,-8.66
202108,-7.95
202109,-7.43
202110,-4.28
202111,-4.27
202112,-2.97
202201,-3.89
202202,-4.6
202203,-5.12
202204,-5.11
202205,-5.55
202206,-5.77
202207,-5.72
202208,-5.3
202209,1.07
202210,-0.8
202211,-1.05
202212,0.95
202301,2.78
202302,2.31
202303,3.52
202304,-0.5
202305,-0.09
202306,-0.13
202307,-0.16
202308,-0.15
202309,-0.12
202310,-0.41
202311,-1.22
202312,-1.34
202401,0.1
202402,1.11
202403,-0.29
202404,-0.41
202405,-0.07
202406,-0.34
202407,-0.99
202408,-0.85
202409,-1.14
202410,-1.73
202411,1.29
202412,1.62
