#  Tehama County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.43
201402,-3.31
201403,-2.36
201404,-2.62
201405,-2.86
201406,-3.42
201407,-3.85
201408,0
201409,0.64
201410,0.41
201411,0.32
201412,1.93
201501,-1.37
201502,-1.55
201503,-2.51
201504,-2.68
201505,-2.87
201506,-3.35
201507,-3.73
201508,-3.65
201509,-3.47
201510,-3.8
201511,-3.72
201512,0.37
201601,1.45
201602,0.47
201603,1.54
201604,1.07
201605,0.97
201606,1.13
201607,0.91
201608,0.59
201609,0.08
201610,1.72
201611,1.3
201612,1.13
201701,2.08
201702,2.94
201703,2.4
201704,2.86
201705,-0.45
201706,-0.79
201707,-1.32
201708,-1.6
201709,-1.7
201710,-2.07
201711,-1.51
201712,-2.6
201801,-2.66
201802,-3.39
201803,-2.59
201804,-1.57
201805,-1.64
201806,-1.82
201807,-2.22
201808,-2.39
201809,-2.6
201810,-2.85
201811,0.22
201812,-0.27
201901,0.5
201902,2.18
201903,2.82
201904,2.19
201905,3.29
201906,3.06
201907,2.77
201908,2.54
201909,2.5
201910,-0.68
201911,-1.27
201912,-0.7
202001,-1.27
202002,-2.25
202003,-2.24
202004,-2.58
202005,-1.72
202006,-1.55
202007,-1.65
202008,-1.72
202009,-2.08
202010,-2.82
202011,-3.09
202012,-3.18
202101,-3.32
202102,-3.53
202103,-3.5
202104,-3.88
202105,-4.33
202106,-5.09
202107,-5.65
202108,-5.52
202109,-5.11
202110,-2.74
202111,-3.31
202112,-2.87
202201,-3.81
202202,-4.5
202203,-5.04
202204,-4.72
202205,-4.8
202206,-4.53
202207,-4.48
202208,-4.4
202209,-3.54
202210,-4.07
202211,-3.78
202212,0.61
202301,1.6
202302,1.2
202303,3.04
202304,-0.44
202305,-0.3
202306,-0.37
202307,-0.53
202308,-0.43
202309,-0.21
202310,-0.79
202311,-1.24
202312,0.26
202401,0.32
202402,1.09
202403,1.19
202404,-0.22
202405,-0.22
202406,-0.55
202407,-1.39
202408,-1.35
202409,-1.49
202410,-2.05
202411,1.15
202412,1.26
