#  Trinity County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-2.83
201402,-2.26
201403,-1.54
201404,-2.03
201405,-2.5
201406,-2.97
201407,-3.51
201408,-3.7
201409,-2.53
201410,-1.81
201411,-2.03
201412,-1.58
201501,-2.6
201502,-2.02
201503,-2.8
201504,-3.03
201505,-3.14
201506,-3.23
201507,-3.33
201508,-3.39
201509,-3.24
201510,-3.71
201511,-3.63
201512,0.81
201601,1.79
201602,0.87
201603,1.94
201604,-0.37
201605,-0.62
201606,-0.64
201607,-0.96
201608,-1.34
201609,-1.81
201610,2.42
201611,1.61
201612,1.32
201701,2.11
201702,3.14
201703,2.81
201704,3.72
201705,-0.66
201706,-0.83
201707,-1.36
201708,-1.68
201709,-1.71
201710,-2.13
201711,-1.57
201712,-2.26
201801,-2.46
201802,-3.13
201803,-2.65
201804,-1.85
201805,-1.81
201806,-1.99
201807,-2.33
201808,-2.68
201809,-2.89
201810,-3.32
201811,-2.88
201812,-2.99
201901,0.03
201902,1.53
201903,1.57
201904,1.62
201905,2.18
201906,-0.29
201907,-0.48
201908,-0.35
201909,-0.2
201910,-0.9
201911,-1.19
201912,-0.78
202001,-1.11
202002,-2.09
202003,-2.39
202004,-2.54
202005,-1.54
202006,-1.49
202007,-1.21
202008,-1.37
202009,-1.83
202010,-2.62
202011,-2.63
202012,-2.59
202101,-2.53
202102,-2.6
202103,-2.9
202104,-3.45
202105,-4.04
202106,-4.68
202107,-5.49
202108,-5.67
202109,-5.24
202110,-3.62
202111,-4.04
202112,-3.73
202201,-4.46
202202,-5.09
202203,-5.56
202204,-4.71
202205,-4.63
202206,-4.15
202207,-4
202208,-4.1
202209,-3.22
202210,-3.85
202211,-0.03
202212,0.36
202301,1.19
202302,0.67
202303,1.99
202304,-0.42
202305,-0.47
202306,-0.52
202307,-0.84
202308,-0.76
202309,-0.09
202310,-0.73
202311,-0.9
202312,0.2
202401,0.77
202402,1.37
202403,1.66
202404,-0.44
202405,-0.6
202406,-0.96
202407,-1.71
202408,-1.43
202409,-1.78
202410,-2.33
202411,-1.07
202412,-0.72
