#  Tulare County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.9
201402,-6.16
201403,-6.34
201404,-6.17
201405,-6.67
201406,-7.72
201407,-8.01
201408,-7.4
201409,-6.84
201410,-6.81
201411,-6.46
201412,-5.6
201501,-6.19
201502,-6.27
201503,-6.9
201504,-6.87
201505,-5.99
201506,-6.17
201507,-5.46
201508,-5.28
201509,-5.07
201510,-3.69
201511,-3.16
201512,-2.92
201601,-2.34
201602,-2.71
201603,-2.61
201604,-2.6
201605,-2.29
201606,-1.99
201607,-2.21
201608,-2.36
201609,-2.52
201610,-2.02
201611,-2.33
201612,0.24
201701,2.88
201702,3.44
201703,-0.66
201704,-0.54
201705,-0.51
201706,-0.37
201707,-0.68
201708,-0.73
201709,-0.53
201710,-1.06
201711,-1.4
201712,-2.45
201801,-3.19
201802,-3.96
201803,-2.7
201804,-2.72
201805,-2.61
201806,-2.54
201807,-2.51
201808,-2.72
201809,-2.88
201810,-2.72
201811,-2.53
201812,-3.06
201901,-0.04
201902,1.09
201903,1.78
201904,0.96
201905,2.61
201906,3.01
201907,3.23
201908,-0.06
201909,-0.37
201910,-0.85
201911,-0.81
201912,-0.66
202001,-1.57
202002,-2.49
202003,-2.21
202004,-1.4
202005,-1.19
202006,-1.06
202007,-1.17
202008,-1.43
202009,-1.75
202010,-2.32
202011,-2.69
202012,-3.18
202101,-3.37
202102,-4.06
202103,-4.33
202104,-4.82
202105,-5.59
202106,-6.59
202107,-7.05
202108,-6.97
202109,-6.68
202110,-4.71
202111,-4.91
202112,-2.79
202201,-3.65
202202,-4.17
202203,-4.43
202204,-4.57
202205,-4.63
202206,-4.65
202207,-4.77
202208,-4.4
202209,-4.29
202210,-4.54
202211,-4.22
202212,0.91
202301,3.13
202302,3.54
202303,6.2
202304,-0.87
202305,-1.16
202306,-1.39
202307,-1.59
202308,-1.15
202309,-1.34
202310,-1.72
202311,-2.14
202312,-2.69
202401,-2.96
202402,-1.87
202403,-1.57
202404,-1.6
202405,-1.49
202406,-1.39
202407,-1.81
202408,-2.12
202409,-2.38
202410,-2.86
202411,-2.3
202412,-2.83
