#  Ventura County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-7.5
201402,-6.87
201403,-6.71
201404,-6.81
201405,-7.42
201406,-7.86
201407,-8.03
201408,-7.59
201409,-7.23
201410,-6.84
201411,-6.74
201412,-5.27
201501,-5.35
201502,-5.64
201503,-6.04
201504,-6.27
201505,-6.03
201506,-6.1
201507,-5.89
201508,-5.71
201509,-4.95
201510,-4.86
201511,-5.03
201512,-5.29
201601,-4.74
201602,-5.09
201603,-4.92
201604,-5.1
201605,-5.22
201606,-5.59
201607,-5.81
201608,-5.7
201609,-5.47
201610,-4.85
201611,-4.77
201612,-3.98
201701,-1.97
201702,-0.62
201703,-1.39
201704,-1.97
201705,-2.25
201706,-2.66
201707,-3.08
201708,-3.15
201709,-3.06
201710,-3.31
201711,-3.79
201712,-4.5
201801,-4.67
201802,-5.16
201803,-4.06
201804,-4.43
201805,-4.54
201806,-4.69
201807,-4.87
201808,-4.88
201809,-4.75
201810,-4.61
201811,-4.28
201812,-4.16
201901,0.95
201902,1.67
201903,1.72
201904,0.85
201905,1.84
201906,2
201907,1.88
201908,1.58
201909,1.14
201910,0.55
201911,0.73
201912,1.55
202001,-0.88
202002,-1.74
202003,0.49
202004,1.6
202005,1.55
202006,1.53
202007,-0.09
202008,-0.25
202009,-0.58
202010,-1.12
202011,-1.75
202012,-2.14
202101,-2.53
202102,-3.28
202103,-3.74
202104,-4.64
202105,-5.79
202106,-6.86
202107,-7.39
202108,-7.26
202109,-6.92
202110,-5.65
202111,-5.95
202112,-2.94
202201,-3.59
202202,-4.17
202203,-4.27
202204,-4.55
202205,-4.76
202206,-5.01
202207,-5.2
202208,-5.15
202209,-4.64
202210,-4.66
202211,-4.3
202212,0.52
202301,3.17
202302,3.34
202303,4.75
202304,3.61
202305,3.65
202306,3.47
202307,3.35
202308,3.23
202309,2.75
202310,1.95
202311,1.16
202312,1.46
202401,0.9
202402,2.9
202403,3.11
202404,2.92
202405,2.72
202406,2.73
202407,-0.11
202408,1.79
202409,1.27
202410,0.57
202411,-1.66
202412,-2.56
