#  Yolo County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-5.05
201402,-4.38
201403,-4.46
201404,-4.04
201405,-4.66
201406,-5.25
201407,-5.36
201408,-4.99
201409,-4.3
201410,-4.38
201411,-4.28
201412,-2.12
201501,-3.21
201502,-3.12
201503,-4.06
201504,-3.88
201505,-4.05
201506,-4.26
201507,-4.36
201508,-4.09
201509,-3.91
201510,-4.23
201511,-3.99
201512,-4.11
201601,-3.22
201602,-3.81
201603,1.44
201604,-0.34
201605,-0.32
201606,-0.66
201607,-1.03
201608,-1.08
201609,-1.27
201610,1.24
201611,0.85
201612,0.73
201701,3.48
201702,4.84
201703,4.25
201704,4.6
201705,4.21
201706,4.08
201707,-0.13
201708,-0.29
201709,-0.57
201710,-1.08
201711,-1.06
201712,-2.21
201801,-2.14
201802,-3
201803,0.78
201804,1.08
201805,1.02
201806,1.01
201807,-0.12
201808,-0.27
201809,-0.52
201810,-1.04
201811,-0.69
201812,-1.08
201901,0.65
201902,2.83
201903,3.4
201904,2.55
201905,3.96
201906,4.36
201907,-0.07
201908,-0.12
201909,-0.08
201910,-0.72
201911,-1.47
201912,-0.46
202001,-1.27
202002,-2.27
202003,-2.65
202004,-2.77
202005,-2.86
202006,-3.25
202007,-3.39
202008,-3.16
202009,-3.18
202010,-3.71
202011,-4.06
202012,-4.47
202101,-4.55
202102,-5.05
202103,-5.19
202104,-5.73
202105,-6.93
202106,-7.72
202107,-7.74
202108,-7.18
202109,-6.72
202110,-3.32
202111,-3.23
202112,-1.72
202201,-2.76
202202,-3.55
202203,-4.04
202204,-4.03
202205,-4.41
202206,-4.64
202207,-4.67
202208,-4.38
202209,-3.08
202210,-3.51
202211,-3.52
202212,0.98
202301,2.69
202302,2.27
202303,4.16
202304,-0.5
202305,-0.23
202306,-0.23
202307,-0.11
202308,-0.17
202309,-0.32
202310,-0.57
202311,-1.17
202312,-1.15
202401,-1.22
202402,0.94
202403,-0.1
202404,-0.24
202405,-0.02
202406,-0.23
202407,-0.77
202408,-0.9
202409,-1.14
202410,-1.74
202411,0.97
202412,1.14
