#  Yuba County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.12
201402,-2.92
201403,-2.49
201404,-2.67
201405,-2.88
201406,-3.35
201407,-3.72
201408,-3.44
201409,-3.04
201410,-3
201411,-2.86
201412,-1.37
201501,-2.67
201502,-2.8
201503,-3.87
201504,-3.7
201505,-3.89
201506,-4.24
201507,-4.56
201508,-4.32
201509,-4.21
201510,-4.49
201511,-4.13
201512,-3.47
201601,-2.28
201602,-2.93
201603,-1.09
201604,-1.49
201605,-1.59
201606,-1.97
201607,-2.34
201608,-2.34
201609,-2.5
201610,1.92
201611,0.92
201612,0.87
201701,2.76
201702,4.17
201703,3.51
201704,4.06
201705,-0.46
201706,-0.62
201707,-1.02
201708,-1.26
201709,-1.42
201710,-1.85
201711,-1
201712,-2.21
201801,-2.1
201802,-2.79
201803,-1.3
201804,-0.72
201805,-1.05
201806,-1.33
201807,-1.75
201808,-1.88
201809,-2.1
201810,-2.46
201811,-2.04
201812,-2.28
201901,0.39
201902,2.31
201903,2.47
201904,1.93
201905,3.23
201906,3.48
201907,3.43
201908,3.03
201909,3.27
201910,-0.7
201911,-1.23
201912,-0.57
202001,-1.24
202002,-2.24
202003,-2.28
202004,-2.26
202005,-1.53
202006,-1.11
202007,-1.19
202008,-1.24
202009,-1.6
202010,-2.37
202011,-2.5
202012,-2.72
202101,-2.95
202102,-3.25
202103,-3.4
202104,-3.89
202105,-4.37
202106,-5.15
202107,-5.63
202108,-5.38
202109,-4.98
202110,-2.1
202111,-3.21
202112,-2.28
202201,-3.33
202202,-4.09
202203,-4.72
202204,-4.15
202205,-4.16
202206,-3.69
202207,-3.55
202208,-3.4
202209,-2.57
202210,-3.17
202211,-3.12
202212,1.25
202301,2.13
202302,1.6
202303,2.65
202304,-0.53
202305,-0.32
202306,-0.36
202307,-0.43
202308,-0.41
202309,-0.29
202310,-0.66
202311,-1.24
202312,-1.2
202401,0.18
202402,0.59
202403,-0.13
202404,-0.57
202405,-0.4
202406,-0.69
202407,-1.48
202408,-1.27
202409,-1.6
202410,-2.15
202411,-0.71
202412,-0.71
