#  Alameda County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.11
201402,3.83
201403,2.02
201404,1.36
201405,0.02
201406,0.01
201407,0.01
201408,0.01
201409,0.39
201410,0.47
201411,1.75
201412,9.9
201501,0.01
201502,2.25
201503,0.26
201504,1.15
201505,0.37
201506,0.27
201507,0.01
201508,0.02
201509,0.04
201510,0.08
201511,2.41
201512,3.52
201601,5.65
201602,0.84
201603,5.25
201604,1.94
201605,0.24
201606,0
201607,0
201608,0
201609,0
201610,3.65
201611,1.48
201612,3.5
201701,9.38
201702,7.41
201703,2.65
201704,2.5
201705,0.03
201706,0.04
201707,0
201708,0.01
201709,0.06
201710,0.21
201711,2.58
201712,0.1
201801,4.28
201802,0.57
201803,4.39
201804,2.44
201805,0.02
201806,0
201807,0
201808,0
201809,0
201810,0.14
201811,2.71
201812,2.02
201901,3.73
201902,6.83
201903,4.11
201904,0.47
201905,2.25
201906,0
201907,0
201908,0
201909,0.19
201910,0
201911,1.09
201912,3.62
202001,1.55
202002,0
202003,2.61
202004,1.54
202005,0.62
202006,0
202007,0
202008,0.07
202009,0
202010,0
202011,0.37
202012,1.66
202101,3.15
202102,0.97
202103,1.36
202104,0.1
202105,0.01
202106,0
202107,0
202108,0
202109,0.02
202110,5.04
202111,0.85
202112,6.46
202201,0.17
202202,0.05
202203,0.68
202204,1.35
202205,0.01
202206,0.07
202207,0
202208,0
202209,0.59
202210,0
202211,2.03
202212,9.51
202301,9.31
202302,3.26
202303,6.33
202304,0.13
202305,0.74
202306,0.02
202307,0
202308,0.01
202309,0.05
202310,0.13
202311,0.91
202312,3.5
202401,5.26
202402,4.74
202403,3.49
202404,1.53
202405,0.82
202406,0
202407,0
202408,0.01
202409,0.01
202410,0.05
202411,2.23
202412,4.08
