#  Alpine County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,2.98
201402,8.22
201403,3.45
201404,1.54
201405,1.47
201406,0.1
201407,1.42
201408,1.15
201409,1.52
201410,0.76
201411,2.33
201412,4.44
201501,0.22
201502,5.53
201503,0.62
201504,2.52
201505,2.99
201506,1
201507,1.81
201508,0.23
201509,0.39
201510,2.4
201511,4.68
201512,7.97
201601,8.29
201602,1.82
201603,6.74
201604,3.1
201605,1.67
201606,0.05
201607,0.01
201608,0.12
201609,0.32
201610,8.87
201611,1.93
201612,6.71
201701,22.13
201702,15.58
201703,4.79
201704,6.95
201705,1.44
201706,0.7
201707,0.04
201708,1.34
201709,2.39
201710,0.57
201711,7.7
201712,0.61
201801,3.65
201802,1.56
201803,12.57
201804,3.18
201805,1.68
201806,0.02
201807,0.7
201808,0.11
201809,0.1
201810,0.76
201811,5.16
201812,2.71
201901,8.17
201902,15.25
201903,6.43
201904,1.74
201905,3.12
201906,0.55
201907,0.55
201908,0.03
201909,0.87
201910,0.08
201911,2.61
201912,7.81
202001,1.86
202002,0.25
202003,5.28
202004,3.12
202005,1.43
202006,0.66
202007,0.57
202008,0.6
202009,0.22
202010,0.04
202011,3.42
202012,2.98
202101,6.12
202102,2.2
202103,2.98
202104,0.9
202105,0.99
202106,0.65
202107,1.01
202108,0.25
202109,0.21
202110,8.35
202111,1.27
202112,12.72
202201,0.13
202202,0.64
202203,1.46
202204,3.24
202205,0.65
202206,0.58
202207,0.08
202208,1.33
202209,1.49
202210,0.2
202211,4.03
202212,16.62
202301,14.68
202302,7.71
202303,12.4
202304,0.7
202305,1.25
202306,1.57
202307,0.04
202308,1.81
202309,1.16
202310,0.61
202311,2.49
202312,2.44
202401,4.7
202402,8.85
202403,7.97
202404,1.34
202405,1.06
202406,0.09
202407,0.75
202408,0.38
202409,0.57
202410,0.91
202411,3.91
202412,4.76
