#  Amador County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.45
201402,8.87
201403,4.66
201404,2.6
201405,0.65
201406,0.03
201407,0.13
201408,0.07
201409,0.93
201410,0.72
201411,3.2
201412,7.98
201501,0.14
201502,5.36
201503,0.83
201504,3.09
201505,1.39
201506,0.27
201507,0.18
201508,0.02
201509,0.07
201510,1.89
201511,5.26
201512,8.16
201601,9.96
201602,1.61
201603,7.88
201604,3.38
201605,0.87
201606,0.01
201607,0
201608,0.02
201609,0.05
201610,7.44
201611,3.49
201612,6.3
201701,18.68
201702,16.23
201703,4.71
201704,5.82
201705,0.74
201706,0.69
201707,0
201708,0.14
201709,0.41
201710,0.53
201711,7.35
201712,0.64
201801,5.62
201802,1
201803,12.02
201804,4.16
201805,0.87
201806,0.01
201807,0.04
201808,0.02
201809,0.01
201810,0.6
201811,6.51
201812,3.18
201901,8.17
201902,14.48
201903,7.18
201904,2.14
201905,5.69
201906,0.08
201907,0.03
201908,0
201909,1.13
201910,0.03
201911,2.08
201912,7.64
202001,2.4
202002,0.06
202003,7.1
202004,3.43
202005,2.24
202006,0.15
202007,0.03
202008,0.04
202009,0.05
202010,0.01
202011,2.04
202012,2.77
202101,6.55
202102,2.67
202103,3.28
202104,0.35
202105,0.23
202106,0.15
202107,0.06
202108,0.01
202109,0.27
202110,8.82
202111,1.11
202112,11.03
202201,0.28
202202,0.37
202203,1.42
202204,3.74
202205,0.2
202206,0.47
202207,0.01
202208,0.16
202209,1.12
202210,0.06
202211,3.65
202212,17.26
202301,14.07
202302,5.22
202303,12.38
202304,0.37
202305,1.22
202306,0.32
202307,0
202308,0.37
202309,0.45
202310,1.19
202311,2.4
202312,3.48
202401,6.32
202402,8.68
202403,8.33
202404,2.12
202405,1.45
202406,0.01
202407,0.07
202408,0.07
202409,0.08
202410,0.27
202411,3.77
202412,6.05
