#  Butte County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.84
201402,10.04
201403,9.06
201404,1.36
201405,0.51
201406,0
201407,0.03
201408,0.49
201409,0.72
201410,1.88
201411,4.36
201412,14.43
201501,0.21
201502,4.58
201503,0.58
201504,2.24
201505,0.29
201506,0.22
201507,0.06
201508,0.07
201509,0.27
201510,0.64
201511,3.8
201512,7.78
201601,14.46
201602,1.94
201603,12.92
201604,1.92
201605,0.99
201606,0.52
201607,0
201608,0
201609,0.01
201610,9.1
201611,4.22
201612,9.88
201701,16.25
201702,15.79
201703,5.65
201704,6.4
201705,0.38
201706,0.92
201707,0
201708,0.01
201709,0.41
201710,0.7
201711,9.49
201712,0.41
201801,6.19
201802,0.62
201803,10.05
201804,5.39
201805,0.52
201806,0.02
201807,0.01
201808,0
201809,0
201810,0.99
201811,6.08
201812,4.64
201901,12.01
201902,19.53
201903,9.06
201904,2.64
201905,5.13
201906,0.12
201907,0
201908,0.01
201909,1.54
201910,0.06
201911,1.44
201912,8.56
202001,4.06
202002,0.04
202003,3.53
202004,1.92
202005,3.64
202006,0.22
202007,0.01
202008,0.04
202009,0
202010,0
202011,2.35
202012,3.35
202101,5.03
202102,3.38
202103,4.22
202104,0.51
202105,0.05
202106,0.06
202107,0
202108,0
202109,0.38
202110,8.93
202111,2.35
202112,10.87
202201,0.9
202202,0.09
202203,1.42
202204,3.79
202205,0.53
202206,1.26
202207,0
202208,0.01
202209,1.72
202210,0
202211,3.66
202212,11.43
202301,14.18
202302,4.61
202303,13.52
202304,1.34
202305,1.53
202306,0.43
202307,0
202308,0.34
202309,1.04
202310,1.23
202311,2.19
202312,5.99
202401,9.56
202402,10.31
202403,6.76
202404,1.79
202405,2.23
202406,0
202407,0
202408,0.52
202409,0.03
202410,0.42
202411,11.91
202412,9.55
