#  Calaveras County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.31
201402,8.13
201403,4.52
201404,2.37
201405,0.63
201406,0.01
201407,0.06
201408,0.04
201409,0.87
201410,0.68
201411,3.27
201412,7.67
201501,0.13
201502,5.26
201503,0.64
201504,2.64
201505,1.18
201506,0.2
201507,0.08
201508,0.01
201509,0.04
201510,1.8
201511,5.26
201512,8.02
201601,9.56
201602,1.4
201603,8.43
201604,3.09
201605,0.58
201606,0.01
201607,0
201608,0
201609,0.03
201610,7.31
201611,3.69
201612,6.39
201701,17.72
201702,15.63
201703,4.18
201704,5.63
201705,0.54
201706,0.39
201707,0
201708,0.04
201709,0.18
201710,0.54
201711,6.24
201712,0.46
201801,5.28
201802,0.83
201803,11.27
201804,4.16
201805,0.54
201806,0
201807,0.02
201808,0
201809,0.01
201810,0.66
201811,7.1
201812,2.76
201901,7.7
201902,14.16
201903,7.91
201904,1.83
201905,5.4
201906,0.04
201907,0.01
201908,0
201909,0.77
201910,0.01
201911,2.01
201912,8.41
202001,2.11
202002,0.03
202003,6.77
202004,2.97
202005,1.94
202006,0.07
202007,0.01
202008,0.02
202009,0.08
202010,0.01
202011,2.14
202012,2.79
202101,7.38
202102,2.42
202103,3.25
202104,0.24
202105,0.16
202106,0.08
202107,0.03
202108,0.01
202109,0.23
202110,8.19
202111,1.02
202112,10.64
202201,0.21
202202,0.35
202203,1.3
202204,3.41
202205,0.1
202206,0.25
202207,0
202208,0.17
202209,1.36
202210,0.04
202211,3.21
202212,15.95
202301,13.91
202302,5.07
202303,12.83
202304,0.24
202305,1.02
202306,0.17
202307,0
202308,0.3
202309,0.48
202310,1.12
202311,2.22
202312,3.45
202401,6.41
202402,8.32
202403,8.05
202404,2.31
202405,1.37
202406,0.01
202407,0.06
202408,0.08
202409,0.04
202410,0.15
202411,3.64
202412,5.39
