#  Contra Costa County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.14
201402,4.68
201403,2.12
201404,1.72
201405,0.02
201406,0.01
201407,0.01
201408,0.03
201409,0.37
201410,0.47
201411,1.58
201412,9.92
201501,0.01
201502,2.34
201503,0.26
201504,1.09
201505,0.2
201506,0.27
201507,0.02
201508,0.01
201509,0.04
201510,0.07
201511,1.86
201512,3.11
201601,6.44
201602,0.8
201603,5.64
201604,1.65
201605,0.22
201606,0
201607,0
201608,0
201609,0
201610,3.05
201611,1.39
201612,3.36
201701,10.68
201702,7.61
201703,2.73
201704,2.57
201705,0.03
201706,0.08
201707,0
201708,0.01
201709,0.03
201710,0.25
201711,2.73
201712,0.12
201801,4.02
201802,0.6
201803,4.97
201804,2.39
201805,0.03
201806,0
201807,0
201808,0
201809,0
201810,0.22
201811,3.09
201812,2.2
201901,4.66
201902,7.21
201903,3.98
201904,0.39
201905,1.93
201906,0
201907,0
201908,0
201909,0.15
201910,0
201911,0.9
201912,4.07
202001,1.54
202002,0
202003,1.91
202004,1.18
202005,0.53
202006,0
202007,0
202008,0.09
202009,0
202010,0
202011,0.44
202012,1.54
202101,2.54
202102,0.93
202103,1.12
202104,0.06
202105,0.01
202106,0
202107,0
202108,0
202109,0.03
202110,5.03
202111,1.02
202112,6.22
202201,0.2
202202,0.03
202203,0.67
202204,1.18
202205,0.01
202206,0.09
202207,0
202208,0
202209,0.56
202210,0
202211,1.56
202212,9.15
202301,9.32
202302,2.99
202303,6.19
202304,0.13
202305,0.61
202306,0.01
202307,0
202308,0.01
202309,0.04
202310,0.17
202311,0.92
202312,3.23
202401,4.6
202402,4.3
202403,2.9
202404,1.24
202405,0.69
202406,0
202407,0
202408,0.01
202409,0.01
202410,0.07
202411,2.43
202412,3.8
