#  Colusa County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.59
201402,6.19
201403,3.51
201404,1.34
201405,0.15
201406,0.01
201407,0
201408,0.08
201409,0.82
201410,0.68
201411,3
201412,12.3
201501,0.18
201502,3.66
201503,0.54
201504,1.78
201505,0.08
201506,0.02
201507,0.12
201508,0.06
201509,0.1
201510,0.07
201511,2.16
201512,3.15
201601,6.5
201602,0.83
201603,6.61
201604,0.79
201605,0.8
201606,0.13
201607,0
201608,0
201609,0
201610,2.73
201611,3.12
201612,3.98
201701,10.07
201702,8.79
201703,2.32
201704,2.48
201705,0.07
201706,0.63
201707,0
201708,0
201709,0.03
201710,0.24
201711,2.77
201712,0.04
201801,3.94
201802,0.19
201803,3.72
201804,2.82
201805,0.16
201806,0
201807,0
201808,0
201809,0.02
201810,0.68
201811,3.61
201812,2.94
201901,6.09
201902,11.1
201903,4.62
201904,0.43
201905,2.57
201906,0
201907,0
201908,0.03
201909,0.18
201910,0.01
201911,0.82
201912,7.04
202001,1.6
202002,0
202003,0.88
202004,0.77
202005,1.16
202006,0.02
202007,0
202008,0.05
202009,0
202010,0
202011,0.6
202012,1.8
202101,2.93
202102,0.95
202103,1.52
202104,0.15
202105,0
202106,0.01
202107,0
202108,0
202109,0.06
202110,5.59
202111,1.46
202112,5.88
202201,0.23
202202,0.01
202203,0.92
202204,0.57
202205,0.11
202206,0.4
202207,0.01
202208,0.01
202209,1.18
202210,0
202211,1.83
202212,6.25
202301,9.72
202302,2.64
202303,7.38
202304,0.49
202305,1.37
202306,0.01
202307,0.01
202308,0.11
202309,0.16
202310,0.8
202311,1.06
202312,4.79
202401,5.19
202402,9.01
202403,3.07
202404,1.83
202405,0.45
202406,0
202407,0
202408,0.09
202409,0.01
202410,0.14
202411,6.68
202412,6.28
