#  Del Norte County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,3.11
201402,11.58
201403,13.72
201404,2.91
201405,2.14
201406,0.95
201407,0.12
201408,0.15
201409,3.74
201410,8.17
201411,6.68
201412,13.89
201501,3.49
201502,11.17
201503,5.65
201504,4.36
201505,0.68
201506,0.45
201507,0.64
201508,0.86
201509,1.05
201510,2.04
201511,8.15
201512,30.81
201601,19.64
201602,5.76
201603,13.98
201604,4.37
201605,1.34
201606,0.61
201607,0.71
201608,0
201609,0.06
201610,22.7
201611,11.84
201612,16.58
201701,19.87
201702,22.11
201703,13.67
201704,11.46
201705,2.31
201706,1.64
201707,0
201708,0.1
201709,1.42
201710,2.75
201711,13.35
201712,3.88
201801,13.33
201802,2.9
201803,13.42
201804,7.41
201805,0.72
201806,1.34
201807,0.01
201808,0
201809,0.24
201810,1.85
201811,5.15
201812,8.09
201901,13.57
201902,21.02
201903,4.78
201904,10.27
201905,4.92
201906,0.01
201907,0.02
201908,0.93
201909,4.1
201910,2.81
201911,2.89
201912,14.33
202001,18.37
202002,1.86
202003,3.96
202004,2.9
202005,7.3
202006,1
202007,0.01
202008,0.03
202009,0.75
202010,1.37
202011,7.91
202012,10.5
202101,19.43
202102,9.94
202103,7.03
202104,1.25
202105,0.68
202106,3.15
202107,0.2
202108,0.07
202109,4.06
202110,9.08
202111,7.88
202112,12.89
202201,4.79
202202,1.48
202203,4.78
202204,9.27
202205,5.53
202206,3.53
202207,0.5
202208,0.04
202209,0.41
202210,0.43
202211,6.06
202212,16.08
202301,13.88
202302,6.54
202303,14.58
202304,6.49
202305,1.97
202306,0.21
202307,0.02
202308,0.21
202309,2.1
202310,3.92
202311,8.05
202312,15.66
202401,25.85
202402,13.65
202403,14.11
202404,2.34
202405,2.66
202406,1.34
202407,0
202408,1.53
202409,0.54
202410,3.07
202411,17.98
202412,18.26
