#  El Dorado County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,2.44
201402,11.43
201403,6.15
201404,2.63
201405,1.16
201406,0.02
201407,0.35
201408,0.32
201409,1.53
201410,1.09
201411,3.81
201412,8.98
201501,0.12
201502,6.96
201503,0.87
201504,3.41
201505,1.96
201506,0.85
201507,0.43
201508,0.05
201509,0.11
201510,2.07
201511,5.25
201512,10.41
201601,11.92
201602,2.18
201603,10.64
201604,3.9
201605,1.8
201606,0.03
201607,0
201608,0.05
201609,0.09
201610,10.29
201611,4.01
201612,8.23
201701,24.56
201702,20.83
201703,5.6
201704,7.45
201705,1.08
201706,0.56
201707,0.01
201708,0.2
201709,0.95
201710,0.78
201711,10.63
201712,0.87
201801,6.61
201802,1.31
201803,15.07
201804,4.76
201805,1.68
201806,0.02
201807,0.11
201808,0.02
201809,0.02
201810,0.91
201811,5.81
201812,3.97
201901,10.66
201902,19.5
201903,8.34
201904,2.81
201905,5.76
201906,0.18
201907,0.03
201908,0.01
201909,1.61
201910,0.1
201911,2.34
201912,9.18
202001,3.5
202002,0.11
202003,7.53
202004,3.9
202005,2.58
202006,0.27
202007,0.05
202008,0.06
202009,0.03
202010,0.02
202011,3.89
202012,3.96
202101,6.35
202102,3.39
202103,3.56
202104,0.66
202105,0.43
202106,0.08
202107,0.1
202108,0.02
202109,0.4
202110,11.09
202111,1.78
202112,14.24
202201,0.47
202202,0.77
202203,1.5
202204,5.93
202205,0.57
202206,0.91
202207,0.01
202208,0.21
202209,1.51
202210,0.08
202211,4.65
202212,19.61
202301,16.25
202302,7.3
202303,14.59
202304,0.72
202305,1.97
202306,0.82
202307,0
202308,0.72
202309,1.01
202310,1.44
202311,3.12
202312,3.79
202401,7.2
202402,9.92
202403,9.69
202404,1.79
202405,1.67
202406,0.03
202407,0.14
202408,0.22
202409,0.32
202410,0.66
202411,5.85
202412,6.86
