#  Fresno County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.58
201402,2.62
201403,1.76
201404,1.51
201405,0.3
201406,0.01
201407,0.26
201408,0.19
201409,0.32
201410,0.12
201411,1.29
201412,3.48
201501,0.19
201502,1.89
201503,0.28
201504,1.01
201505,1.02
201506,0.18
201507,0.56
201508,0.02
201509,0.16
201510,1.16
201511,2.55
201512,3.21
201601,5.47
201602,1.2
201603,3.34
201604,1.94
201605,0.64
201606,0.25
201607,0
201608,0.02
201609,0.07
201610,1.78
201611,1.4
201612,3.49
201701,12.17
201702,7.34
201703,1.67
201704,3.01
201705,0.51
201706,0.09
201707,0.01
201708,0.23
201709,0.45
201710,0.15
201711,1.43
201712,0.1
201801,2.1
201802,0.49
201803,7.01
201804,1.71
201805,0.26
201806,0
201807,0.25
201808,0
201809,0.02
201810,0.49
201811,3.28
201812,1.26
201901,4.01
201902,7.15
201903,3.95
201904,0.63
201905,3.52
201906,0.08
201907,0.07
201908,0
201909,0.01
201910,0
201911,2.01
201912,3.69
202001,0.7
202002,0.23
202003,3.39
202004,2.76
202005,0.53
202006,0.04
202007,0
202008,0.02
202009,0
202010,0
202011,0.76
202012,1.19
202101,3.97
202102,0.53
202103,2.01
202104,0.18
202105,0.04
202106,0.01
202107,0.06
202108,0.05
202109,0.03
202110,2.48
202111,0.38
202112,7.09
202201,0.03
202202,0.21
202203,1.58
202204,0.89
202205,0
202206,0.05
202207,0.07
202208,0.37
202209,0.77
202210,0
202211,1.66
202212,6.6
202301,11.49
202302,4.96
202303,8.46
202304,0.02
202305,0.58
202306,0.41
202307,0.04
202308,0.53
202309,0.21
202310,0.1
202311,0.59
202312,1.56
202401,2.91
202402,6.99
202403,2.78
202404,1.61
202405,0.48
202406,0.04
202407,0.08
202408,0.05
202409,0.05
202410,0.04
202411,2.24
202412,1.48
