#  Glenn County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.22
201402,5.93
201403,5.3
201404,1.36
201405,0.25
201406,0
201407,0
201408,0.24
201409,1.12
201410,0.49
201411,3.04
201412,13.73
201501,0.11
201502,3.84
201503,0.21
201504,1.7
201505,0.25
201506,0.07
201507,0.18
201508,0.02
201509,0.23
201510,0.11
201511,1.54
201512,4.1
201601,8.9
201602,0.7
201603,7.06
201604,0.88
201605,1.19
201606,0.45
201607,0
201608,0
201609,0
201610,2.94
201611,3
201612,4.49
201701,10.5
201702,9.55
201703,2.52
201704,2.67
201705,0.09
201706,0.17
201707,0
201708,0
201709,0.07
201710,0.34
201711,2.62
201712,0.03
201801,3.64
201802,0.08
201803,3.4
201804,3.33
201805,0.27
201806,0.01
201807,0
201808,0
201809,0.03
201810,1.06
201811,4.45
201812,2.68
201901,7.86
201902,14.32
201903,6.48
201904,0.49
201905,2.79
201906,0
201907,0
201908,0.07
201909,0.38
201910,0.02
201911,1.01
201912,5.7
202001,1.72
202002,0
202003,1.07
202004,0.62
202005,1.57
202006,0.12
202007,0
202008,0.14
202009,0
202010,0.01
202011,0.57
202012,1.4
202101,3.4
202102,0.82
202103,1.91
202104,0.26
202105,0.02
202106,0.07
202107,0
202108,0
202109,0.18
202110,6.14
202111,1.51
202112,5.45
202201,0.28
202202,0.01
202203,1.04
202204,0.79
202205,0.2
202206,0.5
202207,0.01
202208,0.03
202209,1.71
202210,0
202211,2.12
202212,5.62
202301,11.83
202302,2.83
202303,8.34
202304,0.66
202305,1.71
202306,0.06
202307,0
202308,0.08
202309,0.39
202310,0.77
202311,1.43
202312,5.81
202401,5
202402,10.06
202403,3.33
202404,1.83
202405,0.53
202406,0
202407,0
202408,0.1
202409,0.08
202410,0.14
202411,8.81
202412,7.19
