#  Humboldt County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.79
201402,9.16
201403,10.35
201404,1.93
201405,0.8
201406,0.38
201407,0.05
201408,0.01
201409,2.91
201410,7.58
201411,5.67
201412,13.96
201501,2.13
201502,10.79
201503,3.68
201504,3.29
201505,0.38
201506,0.17
201507,0.38
201508,0.47
201509,0.62
201510,1.1
201511,5.43
201512,22.11
201601,19.71
201602,4.29
201603,14.58
201604,3.52
201605,1.41
201606,0.3
201607,0.31
201608,0.01
201609,0.04
201610,15.75
201611,8.89
201612,11.05
201701,18.42
201702,20.69
201703,10.95
201704,8.43
201705,1.4
201706,0.79
201707,0.05
201708,0.36
201709,0.97
201710,1.87
201711,10.53
201712,2.26
201801,11.12
201802,3.08
201803,11.26
201804,6.23
201805,1.19
201806,0.42
201807,0.02
201808,0.02
201809,0.56
201810,1.29
201811,6.96
201812,6.47
201901,12.3
201902,22.52
201903,7.79
201904,4.03
201905,4.57
201906,0.01
201907,0.02
201908,0.35
201909,2.42
201910,1.88
201911,2.76
201912,12.83
202001,11.7
202002,1.1
202003,3.81
202004,2.59
202005,6.03
202006,0.52
202007,0.03
202008,0.06
202009,0.69
202010,0.51
202011,4.26
202012,6.37
202101,11.38
202102,7.52
202103,5.85
202104,0.91
202105,0.35
202106,1.13
202107,0.13
202108,0.03
202109,1.61
202110,7.12
202111,4.9
202112,11.49
202201,3.24
202202,0.72
202203,2.66
202204,6.66
202205,2.71
202206,1.55
202207,0.57
202208,0.03
202209,0.94
202210,0.24
202211,6.89
202212,14.81
202301,15.56
202302,8.01
202303,14.21
202304,3.35
202305,1.58
202306,0.14
202307,0.02
202308,0.14
202309,2.54
202310,2.84
202311,4.75
202312,12.52
202401,19.32
202402,15.33
202403,12.69
202404,1.65
202405,3.27
202406,0.64
202407,0.01
202408,1.41
202409,0.19
202410,2.35
202411,17.23
202412,16.4
