#  Imperial County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0
201402,0.02
201403,0.04
201404,0.01
201405,0.01
201406,0
201407,0.1
201408,0.93
201409,0.39
201410,0.01
201411,0.02
201412,0.53
201501,0.36
201502,0.05
201503,0.63
201504,0.02
201505,0.32
201506,0.06
201507,0.37
201508,0.02
201509,0.1
201510,0.17
201511,0.04
201512,0.07
201601,0.94
201602,0.01
201603,0.01
201604,0.26
201605,0.05
201606,0
201607,0.08
201608,0.03
201609,0.2
201610,0.06
201611,0.03
201612,1.39
201701,1.11
201702,0.94
201703,0.04
201704,0
201705,0.12
201706,0
201707,0.23
201708,0.18
201709,0.2
201710,0
201711,0
201712,0
201801,0.17
201802,0.03
201803,0.05
201804,0.03
201805,0
201806,0
201807,0.12
201808,0.11
201809,0.21
201810,0.4
201811,0.02
201812,0.93
201901,0.65
201902,0.59
201903,0.21
201904,0.07
201905,0.05
201906,0
201907,0.04
201908,0
201909,0.58
201910,0
201911,0.98
201912,0.59
202001,0.02
202002,0.46
202003,1.78
202004,0.38
202005,0
202006,0
202007,0
202008,0
202009,0
202010,0
202011,0.01
202012,0.04
202101,1.24
202102,0.01
202103,0.06
202104,0.01
202105,0
202106,0.01
202107,0.29
202108,0.31
202109,0.19
202110,0.05
202111,0
202112,0.32
202201,0
202202,0.02
202203,0.05
202204,0
202205,0
202206,0
202207,0.02
202208,0.66
202209,0.9
202210,0.35
202211,0.05
202212,0.12
202301,0.63
202302,0.08
202303,0.47
202304,0
202305,0.03
202306,0
202307,0.02
202308,1.1
202309,0.65
202310,0
202311,0.27
202312,0.25
202401,1.42
202402,0.56
202403,0.35
202404,0.04
202405,0
202406,0
202407,0.01
202408,0.02
202409,0
202410,0
202411,0
202412,0
