#  Kern County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.16
201402,0.9
201403,0.98
201404,0.59
201405,0.19
201406,0
201407,0
201408,0.09
201409,0.01
201410,0.04
201411,0.42
201412,2.79
201501,0.81
201502,0.86
201503,0.31
201504,0.21
201505,0.5
201506,0.05
201507,0.5
201508,0
201509,0.18
201510,0.58
201511,0.76
201512,0.8
201601,2.49
201602,0.7
201603,1.09
201604,0.92
201605,0.3
201606,0
201607,0
201608,0
201609,0
201610,0.42
201611,0.73
201612,2.56
201701,5.12
201702,3.05
201703,0.45
201704,0.25
201705,0.18
201706,0.01
201707,0.01
201708,0.05
201709,0.32
201710,0.01
201711,0.2
201712,0.03
201801,1.53
201802,0.35
201803,2.67
201804,0.31
201805,0.11
201806,0
201807,0.08
201808,0
201809,0
201810,0.06
201811,0.82
201812,1.1
201901,2.8
201902,2.95
201903,2.12
201904,0.24
201905,1.26
201906,0.1
201907,0.01
201908,0
201909,0.01
201910,0
201911,1.47
201912,2.36
202001,0.31
202002,0.14
202003,2.39
202004,2.25
202005,0.13
202006,0.05
202007,0
202008,0.02
202009,0
202010,0
202011,0.26
202012,0.5
202101,1.27
202102,0.1
202103,0.76
202104,0.2
202105,0
202106,0.05
202107,0.12
202108,0
202109,0.01
202110,0.92
202111,0.03
202112,3.35
202201,0.06
202202,0.16
202203,1.13
202204,0.36
202205,0
202206,0.17
202207,0.01
202208,0.08
202209,0.35
202210,0.01
202211,1
202212,1.94
202301,3.68
202302,3.22
202303,3.35
202304,0.02
202305,0.48
202306,0.21
202307,0.01
202308,0.48
202309,0.02
202310,0.18
202311,0.26
202312,1.21
202401,1.87
202402,3.99
202403,2.18
202404,0.9
202405,0.17
202406,0
202407,0.05
202408,0
202409,0.02
202410,0.07
202411,0.91
202412,0.19
