#  Kings County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.11
201402,1.36
201403,0.73
201404,0.24
201405,0.01
201406,0
201407,0
201408,0
201409,0.01
201410,0.34
201411,0.89
201412,2.46
201501,0.17
201502,0.72
201503,0.25
201504,0.48
201505,0.28
201506,0.03
201507,0.08
201508,0.01
201509,0.01
201510,0.58
201511,0.79
201512,1.18
201601,2.39
201602,0.35
201603,1.18
201604,0.48
201605,0.24
201606,0.03
201607,0
201608,0
201609,0
201610,0.74
201611,0.87
201612,1.33
201701,3.74
201702,2.57
201703,0.61
201704,0.7
201705,0.34
201706,0.01
201707,0
201708,0
201709,0.07
201710,0.03
201711,0.1
201712,0.04
201801,1.08
201802,0.17
201803,2.26
201804,0.34
201805,0
201806,0
201807,0
201808,0
201809,0
201810,0.08
201811,1.27
201812,0.41
201901,1.66
201902,2.21
201903,1.37
201904,0.29
201905,1.36
201906,0.09
201907,0
201908,0
201909,0
201910,0
201911,0.77
201912,1.94
202001,0.55
202002,0.01
202003,2.07
202004,1.29
202005,0.06
202006,0
202007,0
202008,0
202009,0
202010,0
202011,0.25
202012,0.31
202101,2.36
202102,0.03
202103,0.78
202104,0.13
202105,0
202106,0
202107,0
202108,0
202109,0
202110,0.82
202111,0.1
202112,3.09
202201,0.01
202202,0.09
202203,1.08
202204,0.19
202205,0
202206,0.05
202207,0
202208,0.01
202209,0.08
202210,0
202211,0.52
202212,2.45
202301,3.5
202302,3.37
202303,3.2
202304,0
202305,0.38
202306,0.02
202307,0
202308,0.08
202309,0.01
202310,0.05
202311,0.21
202312,1.55
202401,1.36
202402,3.14
202403,1.44
202404,0.81
202405,0.2
202406,0.01
202407,0
202408,0
202409,0.01
202410,0
202411,1.39
202412,0.52
