#  Los Angeles County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.07
201402,2.76
201403,1.26
201404,0.51
201405,0.17
201406,0
201407,0.01
201408,0.14
201409,0.05
201410,0.1
201411,0.55
201412,4.7
201501,1.39
201502,0.78
201503,0.64
201504,0.23
201505,0.72
201506,0.04
201507,0.36
201508,0.01
201509,1
201510,0.6
201511,0.29
201512,1.05
201601,3.47
201602,0.84
201603,1.93
201604,0.43
201605,0.31
201606,0.01
201607,0
201608,0
201609,0.01
201610,0.48
201611,1.08
201612,4.03
201701,7.83
201702,4.64
201703,0.28
201704,0.11
201705,0.36
201706,0.03
201707,0.01
201708,0.09
201709,0.24
201710,0.02
201711,0.07
201712,0.01
201801,2.12
201802,0.37
201803,3.8
201804,0.06
201805,0.17
201806,0
201807,0.01
201808,0
201809,0
201810,0.4
201811,1.45
201812,2.41
201901,5.64
201902,6.38
201903,2.65
201904,0.14
201905,1.19
201906,0.03
201907,0.01
201908,0
201909,0.04
201910,0
201911,2.36
201912,4.96
202001,0.24
202002,0.14
202003,4.9
202004,3.81
202005,0.16
202006,0.01
202007,0
202008,0.02
202009,0
202010,0.01
202011,0.22
202012,1.38
202101,2.01
202102,0.04
202103,1.07
202104,0.04
202105,0.02
202106,0
202107,0.08
202108,0.02
202109,0.01
202110,0.79
202111,0
202112,7.71
202201,0.14
202202,0.17
202203,1.29
202204,0.31
202205,0.02
202206,0.13
202207,0.02
202208,0.01
202209,0.49
202210,0.18
202211,1.95
202212,2.93
202301,8.89
202302,4.86
202303,6.7
202304,0.11
202305,0.66
202306,0.08
202307,0
202308,0.47
202309,0.15
202310,0.05
202311,0.56
202312,2.56
202401,1.92
202402,10.45
202403,3.92
202404,0.88
202405,0.13
202406,0
202407,0
202408,0.01
202409,0.01
202410,0.03
202411,0.1
202412,0.02
