#  Lake County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.58
201402,11.62
201403,8.31
201404,2.04
201405,0.11
201406,0
201407,0
201408,0.2
201409,1.01
201410,1.52
201411,4.88
201412,18.23
201501,0.46
201502,6.44
201503,0.55
201504,2.52
201505,0.21
201506,0.08
201507,0.17
201508,0.15
201509,0.72
201510,0.26
201511,2.42
201512,11.38
201601,14.73
201602,2.02
201603,14
201604,1.35
201605,0.93
201606,0.26
201607,0
201608,0
201609,0
201610,7.48
201611,5.18
201612,9.39
201701,22.13
201702,17.09
201703,4.67
201704,5.61
201705,0.03
201706,0.28
201707,0
201708,0
201709,0.04
201710,0.42
201711,6.45
201712,0.27
201801,8.1
201802,0.56
201803,7.41
201804,5.53
201805,0.24
201806,0.01
201807,0
201808,0
201809,0.16
201810,1.41
201811,5.89
201812,5.06
201901,11.76
201902,20.47
201903,8.86
201904,1.9
201905,5.15
201906,0.01
201907,0
201908,0.26
201909,0.35
201910,0.07
201911,1.66
201912,10.46
202001,5.04
202002,0.02
202003,2.22
202004,1.41
202005,2.58
202006,0.02
202007,0
202008,0.36
202009,0.02
202010,0.03
202011,1.72
202012,3.6
202101,6.07
202102,3.09
202103,3.29
202104,0.41
202105,0.01
202106,0.05
202107,0
202108,0
202109,0.3
202110,10.09
202111,2.49
202112,10.77
202201,1.03
202202,0.06
202203,1.37
202204,3.35
202205,0.36
202206,0.66
202207,0.04
202208,0.05
202209,1.61
202210,0.03
202211,2.71
202212,12.94
202301,18.22
202302,5.28
202303,14.05
202304,0.97
202305,2.22
202306,0.02
202307,0.03
202308,0.13
202309,0.39
202310,1.23
202311,3.19
202312,9.84
202401,10.26
202402,13.95
202403,7.67
202404,2.28
202405,1.05
202406,0.01
202407,0
202408,0.41
202409,0.02
202410,0.38
202411,12.05
202412,12.58
